beat,district,area_sq_mi,placename,population,offense_type,nibrs_class,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,"Murder, non-negligent",09A,11,4,14,7,NA,NA,29,9.7,27.3,NA,NA,NA,30.6,11.1,38.9,NA,26.9
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,"Murder, non-negligent",09A,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,"Murder, non-negligent",09A,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,7.7,NA,NA
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,"Murder, non-negligent",09A,11,13,13,3,NA,NA,37,12.3,18.2,NA,NA,NA,64.7,76.5,76.5,NA,72.4
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,"Murder, non-negligent",09A,15,21,18,7,NA,NA,54,18,20,NA,NA,NA,53.6,75,64.3,NA,64.3
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,"Murder, non-negligent",09A,6,7,8,5,NA,NA,21,7,33.3,NA,NA,NA,28.6,33.3,38.1,NA,33.3
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,"Murder, non-negligent",09A,4,8,2,5,NA,NA,14,4.7,-50,NA,NA,NA,19,38.1,9.5,NA,22.4
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,"Murder, non-negligent",09A,2,1,3,3,NA,NA,6,2,50,NA,NA,NA,22.2,11.1,33.3,NA,22.2
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,"Murder, non-negligent",09A,2,NA,5,2,NA,NA,NA,NA,150,NA,NA,NA,8.3,NA,20.8,NA,NA
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,"Murder, non-negligent",09A,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,5.6,NA,NA
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,"Murder, non-negligent",09A,1,1,7,2,NA,NA,9,3,600,NA,NA,NA,2.9,2.9,20.6,NA,8.8
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30000,"Murder, non-negligent",09A,4,3,13,6,NA,NA,20,6.7,225,NA,NA,NA,13.3,10,43.3,NA,22.3
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,"Murder, non-negligent",09A,4,3,2,NA,NA,NA,9,3,-50,NA,NA,NA,26.7,20,13.3,NA,20
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,"Murder, non-negligent",09A,5,7,4,2,NA,NA,16,5.3,-20,NA,NA,NA,14.3,20,11.4,NA,15.1
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,"Murder, non-negligent",09A,2,7,2,1,NA,NA,11,3.7,0,NA,NA,NA,9.1,31.8,9.1,NA,16.8
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,"Murder, non-negligent",09A,6,7,5,3,NA,NA,18,6,-16.7,NA,NA,NA,17.1,20,14.3,NA,17.1
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,"Murder, non-negligent",09A,8,9,10,4,NA,NA,27,9,25,NA,NA,NA,15.7,17.6,19.6,NA,17.6
