beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Theft,1246,1091,1109,430,1106,3446,1148.7,-11,-11.2,-0.3,-4,2443.1,2139.2,2174.5,2168.6,2252.4
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Theft,478,529,459,206,478,1466,488.7,-4,0,4.1,-2,1770.4,1959.3,1700,1770.4,1810
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Theft,516,704,548,273,550,1768,589.3,6.2,6.6,0.4,-7,2457.1,3352.4,2609.5,2619,2806.2
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Theft,922,950,892,330,866,2764,921.3,-3.3,-6.1,-2.9,-6,2004.3,2065.2,1939.1,1882.6,2002.8
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Theft,167,179,183,88,206,529,176.3,9.6,23.4,12.6,17,2385.7,2557.1,2614.3,2942.9,2518.6
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Theft,1969,1889,2060,1000,2238,5918,1972.7,4.6,13.7,8.6,13,8204.2,7870.8,8583.3,9325,8219.6
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Theft,1309,1194,1387,656,1451,3890,1296.7,6,10.8,4.6,12,3636.1,3316.7,3852.8,4030.6,3601.9
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Theft,1352,1454,1469,613,1455,4275,1425,8.7,7.6,-1,2,3862.9,4154.3,4197.1,4157.1,4071.4
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Theft,891,891,1066,472,1108,2848,949.3,19.6,24.4,3.9,17,4455,4455,5330,5540,4746.5
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Theft,633,631,663,293,714,1927,642.3,4.7,12.8,7.7,11,2260.7,2253.6,2367.9,2550,2293.9
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Theft,984,1232,1226,485,1195,3442,1147.3,24.6,21.4,-2.5,4,3174.2,3974.2,3954.8,3854.8,3701
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Theft,566,533,386,196,418,1485,495,-31.8,-26.1,8.3,-16,2264,2132,1544,1672,1980
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Theft,309,317,272,86,230,898,299.3,-12,-25.6,-15.4,-23,1716.7,1761.1,1511.1,1277.8,1662.8
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Theft,656,679,544,244,571,1879,626.3,-17.1,-13,5,-9,1773,1835.1,1470.3,1543.2,1692.7
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Theft,406,580,525,194,500,1511,503.7,29.3,23.2,-4.8,-1,2255.6,3222.2,2916.7,2777.8,2798.3
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Theft,905,942,986,428,1046,2833,944.3,9,15.6,6.1,11,3120.7,3248.3,3400,3606.9,3256.2
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Theft,370,425,356,152,345,1151,383.7,-3.8,-6.8,-3.1,-10,2055.6,2361.1,1977.8,1916.7,2131.7
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Theft,1243,1123,1074,449,1115,3440,1146.7,-13.6,-10.3,3.8,-3,4780.8,4319.2,4130.8,4288.5,4410.4
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Theft,733,717,636,258,638,2086,695.3,-13.2,-13,0.3,-8,2617.9,2560.7,2271.4,2278.6,2483.2
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Theft,376,401,422,173,415,1199,399.7,12.2,10.4,-1.7,4,1790.5,1909.5,2009.5,1976.2,1903.3
20G80,20,25.33626534,City Limits,37000,Theft,837,791,868,377,918,2496,832,3.7,9.7,5.8,10,2262.2,2137.8,2345.9,2481.1,2248.6
21I10,21,0.00549966,Hobby Airport,0,Theft,258,133,165,82,177,556,185.3,-36,-31.4,7.3,-4,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Theft,3,0,6,1,3,9,3,100,0,-50,0,NA,NA,NA,NA,NA
21I30,21,0.01180375,Hobby Airport,0,Theft,7,2,2,0,2,11,3.7,-71.4,-71.4,0,-46,NA,NA,NA,NA,NA
21I40,21,0.00923163,Hobby Airport,0,Theft,15,6,2,2,3,23,7.7,-86.7,-80,50,-61,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Theft,333,166,241,142,307,740,246.7,-27.6,-7.8,27.4,24,NA,NA,NA,NA,NA
