beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Burglary,276,175,142,74,0,0,593,197.7,-48.6,-100,-100,-100,890.3,564.5,458.1,0,637.7
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Drug Offenses,52,51,38,19,0,0,141,47,-26.9,-100,-100,-100,167.7,164.5,122.6,0,151.6
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Kidnapping,1,0,1,0,0,0,2,0.7,0,-100,-100,-100,3.2,0,3.2,0,2.3
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Murder,0,0,2,2,0,0,2,0.7,NA,NA,-100,-100,0,0,6.5,0,2.3
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Other,331,588,578,324,0,0,1497,499,74.6,-100,-100,-100,1067.7,1896.8,1864.5,0,1609.7
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Robbery,55,48,50,20,0,0,153,51,-9.1,-100,-100,-100,177.4,154.8,161.3,0,164.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Sexual Assault,8,6,7,5,0,0,21,7,-12.5,-100,-100,-100,25.8,19.4,22.6,0,22.6
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Theft,1200,833,955,536,0,0,2988,996,-20.4,-100,-100,-100,3871,2687.1,3080.6,0,3212.9
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Arson,1,3,1,1,0,0,5,1.7,0,-100,-100,-100,12.5,37.5,12.5,0,21.2
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Assault,121,169,170,106,0,0,460,153.3,40.5,-100,-100,-100,1512.5,2112.5,2125,0,1916.3
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Auto Theft,48,56,72,40,0,0,176,58.7,50,-100,-100,-100,600,700,900,0,733.8
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Burglary,79,65,61,26,0,0,205,68.3,-22.8,-100,-100,-100,987.5,812.5,762.5,0,853.8
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Drug Offenses,39,29,23,19,0,0,91,30.3,-41,-100,-100,-100,487.5,362.5,287.5,0,378.8
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Kidnapping,0,0,1,0,0,0,1,0.3,NA,NA,-100,-100,0,0,12.5,0,3.7
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Murder,1,1,0,1,0,0,2,0.7,-100,-100,NA,-100,12.5,12.5,0,0,8.8
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Other,172,319,367,177,0,0,858,286,113.4,-100,-100,-100,2150,3987.5,4587.5,0,3575
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Robbery,23,17,12,8,0,0,52,17.3,-47.8,-100,-100,-100,287.5,212.5,150,0,216.2
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Sexual Assault,9,5,2,3,0,0,16,5.3,-77.8,-100,-100,-100,112.5,62.5,25,0,66.2
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Theft,548,535,526,269,0,0,1609,536.3,-4,-100,-100,-100,6850,6687.5,6575,0,6703.8
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Arson,1,3,2,0,0,0,6,2,100,-100,-100,-100,3.4,10.3,6.9,0,6.9
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Assault,396,374,481,206,0,0,1251,417,21.5,-100,-100,-100,1365.5,1289.7,1658.6,0,1437.9
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Auto Theft,126,158,212,142,0,0,496,165.3,68.3,-100,-100,-100,434.5,544.8,731,0,570
