beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Assault,491,491,496,289,461,1478,492.7,1,-6.1,-7.1,-6,1964,1964,1984,1844,1970.8
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Assault,343,344,363,188,301,1050,350,5.8,-12.2,-17.1,-14,1905.6,1911.1,2016.7,1672.2,1944.4
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Assault,812,904,916,576,880,2632,877.3,12.8,8.4,-3.9,0,2194.6,2443.2,2475.7,2378.4,2371.1
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Assault,688,679,744,392,632,2111,703.7,8.1,-8.1,-15.1,-10,3822.2,3772.2,4133.3,3511.1,3909.4
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Assault,758,974,941,604,918,2673,891,24.1,21.1,-2.4,3,2613.8,3358.6,3244.8,3165.5,3072.4
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Assault,301,346,358,232,330,1005,335,18.9,9.6,-7.8,-1,1672.2,1922.2,1988.9,1833.3,1861.1
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Assault,862,979,970,660,946,2811,937,12.5,9.7,-2.5,1,3315.4,3765.4,3730.8,3638.5,3603.8
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Assault,616,623,753,502,736,1992,664,22.2,19.5,-2.3,11,2200,2225,2689.3,2628.6,2371.4
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Assault,505,619,611,412,613,1735,578.3,21,21.4,0.3,6,2404.8,2947.6,2909.5,2919,2753.8
20G80,20,25.33626534,City Limits,37000,Assault,525,657,749,509,751,1931,643.7,42.7,43,0.3,17,1418.9,1775.7,2024.3,2029.7,1739.7
21I10,21,0.00549966,Hobby Airport,0,Assault,30,25,34,28,40,89,29.7,13.3,33.3,17.6,35,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Assault,1,0,0,2,2,1,0.3,-100,100,NA,567,NA,NA,NA,NA,NA
21I40,21,0.00923163,Hobby Airport,0,Assault,6,2,3,6,7,11,3.7,-50,16.7,133.3,89,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Assault,95,76,83,87,123,254,84.7,-12.6,29.5,48.2,45,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Assault,382,432,522,326,496,1336,445.3,36.6,29.8,-5,11,4775,5400,6525,6200,5566.2
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Assault,760,896,936,525,848,2592,864,23.2,11.6,-9.4,-2,1809.5,2133.3,2228.6,2019,2057.1
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Assault,439,468,471,351,530,1378,459.3,7.3,20.7,12.5,15,1908.7,2034.8,2047.8,2304.3,1997
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Assault,212,262,262,169,254,736,245.3,23.6,19.8,-3.1,4,706.7,873.3,873.3,846.7,817.7
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Assault,454,429,465,341,512,1348,449.3,2.4,12.8,10.1,14,1621.4,1532.1,1660.7,1828.6,1604.6
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",22000,Assault,290,382,421,236,353,1093,364.3,45.2,21.7,-16.2,-3,1318.2,1736.4,1913.6,1604.5,1655.9
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Assault,312,378,413,220,333,1103,367.7,32.4,6.7,-19.4,-9,1733.3,2100,2294.4,1850,2042.8
24C10,24,5.44044978,Kingwood,13000,Assault,130,166,160,96,138,456,152,23.1,6.2,-13.8,-9,1000,1276.9,1230.8,1061.5,1169.2
24C20,24,6.8291794,Kingwood,18000,Assault,112,166,166,116,179,444,148,48.2,59.8,7.8,21,622.2,922.2,922.2,994.4,822.2
24C30,24,9.78735527,Kingwood,29000,Assault,137,157,173,111,176,467,155.7,26.3,28.5,1.7,13,472.4,541.4,596.6,606.9,536.9
24C40,24,35.7992771,Kingwood,6000,Assault,77,93,98,62,100,268,89.3,27.3,29.9,2,12,1283.3,1550,1633.3,1666.7,1488.3
24C50,24,7.51791807,Kingwood,5000,Assault,86,116,124,95,135,326,108.7,44.2,57,8.9,24,1720,2320,2480,2700,2174
24C60,24,4.86823328,Kingwood,21000,Assault,77,60,72,20,38,209,69.7,-6.5,-50.6,-47.2,-45,366.7,285.7,342.9,181,331.9
21I60,21,0.01236886,Hobby Airport,0,Assault,9,3,6,7,9,18,6,-33.3,0,50,50,NA,NA,NA,NA,NA
HCC1,NA,NA,NA,NA,Assault,1,1,0,2,2,2,0.7,-100,100,NA,186,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Assault,2,8,0,0,0,10,3.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Assault,142,157,17,31,33,316,105.3,-88,-76.8,94.1,-69,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Assault,196,166,28,36,39,390,130,-85.7,-80.1,39.3,-70,NA,NA,NA,NA,NA
UH-3PD,NA,NA,NA,NA,Assault,0,0,1,0,0,1,0.3,NA,NA,-100,-100,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Assault,16,13,5,9,9,34,11.3,-68.8,-43.8,80,-20,NA,NA,NA,NA,NA
