Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-05-23T00:00:00Z,16,Theft,10H40,Department or Discount Store,4200-4299,SAN JACINTO,-,-,1
2015-05-16T00:00:00Z,17,Theft,10H40,Restaurant or Cafeteria,2700-2799,MILAM,-,-,1
2015-05-14T00:00:00Z,00,Theft,10H40,Apartment,3800-3899,MAIN,ST,-,1
2015-05-17T00:00:00Z,18,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",2200-2299,FANNIN,ST,-,1
2015-05-19T00:00:00Z,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-20T00:00:00Z,14,Robbery,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
2015-05-11T00:00:00Z,08,Theft,10H40,Garage or Carport,2300-2399,MILAM,-,-,1
2015-05-10T00:00:00Z,10,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-09T00:00:00Z,13,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-05T00:00:00Z,11,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,HADLEY,ST,-,1
2015-04-13T00:00:00Z,10,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-05-01T00:00:00Z,10,Robbery,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST,-,1
2015-05-02T00:00:00Z,10,Theft,10H40,"Road, Street, or Sidewalk",2900-2999,CHENEVERT,-,-,1
2015-05-26T00:00:00Z,10,Theft,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
2015-05-26T00:00:00Z,07,Auto Theft,10H40,Apartment Parking Lot,1700-1799,GRAY,-,-,1
2015-05-27T00:00:00Z,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-18T00:00:00Z,02,Aggravated Assault,10H40,"Road, Street, or Sidewalk",2600-2699,CAROLINE,ST,-,1
2015-05-20T00:00:00Z,18,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,ANITA,ST,-,1
2015-05-02T00:00:00Z,15,Theft,10H40,Miscellaneous Business (Non-Specific),3600-3699,MAIN,ST,-,1
2015-05-10T00:00:00Z,01,Theft,10H40,Bus Station,2000-2099,MAINE SE,-,-,1
2015-05-25T00:00:00Z,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-28T00:00:00Z,10,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,1
2015-05-28T00:00:00Z,15,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,DENNIS,ST,-,1
2015-05-28T00:00:00Z,16,Theft,10H40,"Other, Unknown, or Not Listed",2100-2199,MAIN,ST,-,1
2015-05-15T00:00:00Z,01,Theft,10H40,Bar or Night Club,2600-2699,SAN JACINTO,-,-,1
2015-05-03T00:00:00Z,14,Theft,10H40,Service or Gas Station,400-499,RICHMOND,AVE,-,1
2015-05-03T00:00:00Z,21,Theft,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST,-,1
2015-05-05T00:00:00Z,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-08T00:00:00Z,01,Theft,10H40,"Road, Street, or Sidewalk",700-799,GRAY,-,-,1
2015-05-09T00:00:00Z,13,Robbery,10H40,"Road, Street, or Sidewalk",1100-1199,WEBSTER,-,-,1
2015-05-09T00:00:00Z,21,Robbery,10H40,"Road, Street, or Sidewalk",3500-3599,FANNIN,ST,-,1
2015-05-31T00:00:00Z,16,Burglary,10H40,Apartment,2300-2399,TRAVIS,-,-,2
2015-05-31T00:00:00Z,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-31T00:00:00Z,17,Theft,10H40,"Church, Synagogue, or Temple",1000-1099,HOLMAN,-,-,1
2015-05-03T00:00:00Z,19,Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2015-05-06T00:00:00Z,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-10T00:00:00Z,12,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,1
2015-05-09T00:00:00Z,00,Theft,10H40,"Road, Street, or Sidewalk",800-899,BERRY,ST,-,2
2015-05-18T00:00:00Z,06,Auto Theft,10H40,"Road, Street, or Sidewalk",1600-1699,HOLMAN,-,-,1
2015-05-16T00:00:00Z,12,Theft,10H40,Service or Gas Station,2100-2199,FANNIN,ST,-,1
2015-05-14T00:00:00Z,23,Theft,10H40,"Road, Street, or Sidewalk",2800-2899,CAROLINE,ST,-,1
2015-05-15T00:00:00Z,12,Theft,10H40,Light Rail (Metro Rail) Vehicle,3500-3599,MAIN,ST,-,1
2015-05-24T00:00:00Z,17,Theft,10H40,Bar or Night Club Parking Lot,2300-2399,SAN JACINTO,ST,-,1
2015-05-22T00:00:00Z,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-20T00:00:00Z,23,Theft,10H40,Restaurant or Cafeteria Parking Lot,2900-2999,MILAM,-,-,1
2015-05-23T00:00:00Z,02,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,TRAVIS,-,-,1
2015-05-23T00:00:00Z,12,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,MILAM,-,-,1
2015-05-29T00:00:00Z,00,Theft,10H40,Hotel or Motel Parking Lot,2100-2199,CAROLINE,ST,-,1
2015-05-29T00:00:00Z,23,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,ANITA,ST,-,1
2015-05-06T00:00:00Z,06,Theft,10H40,"Road, Street, or Sidewalk",800-899,BERRY,ST,-,1
2015-04-16T00:00:00Z,09,Theft,10H40,,UNK,BERRY,-,-,1
2015-05-07T00:00:00Z,14,Theft,10H40,Garage or Carport,1300-1399,GRAY,-,-,1
2015-05-08T00:00:00Z,17,Auto Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS,-,-,1
2015-05-19T00:00:00Z,07,Burglary,10H40,Apartment,2200-2299,AUSTIN,ST,-,1
2015-05-19T00:00:00Z,07,Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS,-,-,1
2015-05-17T00:00:00Z,22,Burglary,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2500-2599,MAIN,ST,-,1
2015-05-24T00:00:00Z,15,Aggravated Assault,10H40,"Road, Street, or Sidewalk",4500-4599,TRAVIS,-,-,1
2015-05-24T00:00:00Z,15,Theft,10H40,Bar or Night Club,2400-2499,MAIN,ST,-,1
2015-05-25T00:00:00Z,01,Theft,10H40,"Road, Street, or Sidewalk",2700-2799,TRAVIS,-,-,1
2015-05-21T00:00:00Z,13,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,STUART,-,-,1
2015-05-18T00:00:00Z,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-27T00:00:00Z,17,Aggravated Assault,10H40,Other Parking Lot,3800-3899,MAIN,ST,-,1
2015-05-28T00:00:00Z,11,Theft,10H40,Commercial Building,4100-4199,SAN JACINTO,-,-,1
2015-05-25T00:00:00Z,11,Theft,10H40,Residence or House,1700-1799,MCGOWEN,ST,-,1
2015-05-11T00:00:00Z,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-05-09T00:00:00Z,14,Theft,10H40,Bar or Night Club Parking Lot,2900-2999,TRAVIS,-,-,1
2015-05-03T00:00:00Z,00,Aggravated Assault,10H40,Bar or Night Club,3100-3199,SAN JACINTO,-,-,6
2015-04-26T00:00:00Z,17,Aggravated Assault,10H40,Bar or Night Club,2400-2499,MAIN,ST,-,1
2015-05-04T00:00:00Z,06,Theft,10H40,"Road, Street, or Sidewalk",3200-3299,AUSTIN,ST,-,1
2015-05-06T00:00:00Z,21,Theft,10H40,Restaurant or Cafeteria Parking Lot,2800-2899,CAROLINE,ST,-,1
2015-05-06T00:00:00Z,21,Theft,10H40,Restaurant or Cafeteria,3700-3799,TRAVIS,-,-,1
2015-05-31T00:00:00Z,02,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,CAROLINE,ST,-,1
2015-04-21T00:00:00Z,23,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3400-3499,DREW,ST,-,1
2015-04-29T00:00:00Z,10,Theft,10H50,University or College,3100-3199,CLEBURNE,-,-,1
2015-05-13T00:00:00Z,22,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3200-3299,NETTLETON,-,-,1
2015-05-27T00:00:00Z,02,Auto Theft,10H50,"Road, Street, or Sidewalk",2800-2899,MCGOWEN,ST,-,1
2015-05-23T00:00:00Z,23,Burglary,10H50,Apartment,3300-3399,ALABAMA,ST,-,1
2015-05-18T00:00:00Z,11,Theft,10H50,Restaurant or Cafeteria,3600-3699,TUAM,-,-,1
2015-05-23T00:00:00Z,14,Theft,10H50,"Road, Street, or Sidewalk",2200-2299,EDMUNDSON,ST,-,1
2015-05-22T00:00:00Z,11,Robbery,10H50,"Road, Street, or Sidewalk",3100-3199,HADLEY,ST,-,1
2015-05-18T00:00:00Z,20,Aggravated Assault,10H50,Apartment,3200-3299,TRUXILLO,-,-,1
2015-05-15T00:00:00Z,23,Theft,10H50,Other Parking Lot,3600-3699,DOWLING,ST,-,1
2015-05-16T00:00:00Z,12,Theft,10H50,"Church, Synagogue, or Temple",3300-3399,HOLMAN,-,-,1
2015-05-09T00:00:00Z,07,Burglary,10H50,Restaurant or Cafeteria,3700-3799,SCOTT,ST,-,1
2015-05-13T00:00:00Z,00,Theft,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",3100-3199,TRULLEY,-,-,1
2015-04-30T00:00:00Z,09,Theft,10H50,Construction Site,2200-2299,FRANCIS,ST,-,1
2015-05-06T00:00:00Z,13,Theft,10H50,Convenience Store Parking Lot,3800-3899,SCOTT,ST,-,1
