beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Robbery,82,64,63,72,54,75,281,70.2,-12.2,-8.5,4.2,6.8,410,320,315,360,375,351,72
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Robbery,50,51,37,75,35,57,213,53.2,50,14,-24,7.1,312.5,318.8,231.2,468.8,356.2,332.5,75
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Robbery,25,20,18,13,10,15,76,19,-48,-40,15.4,-21.1,131.6,105.3,94.7,68.4,78.9,100,13
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Robbery,117,122,114,91,58,82,444,111,-22.2,-29.9,-9.9,-26.1,417.9,435.7,407.1,325,292.9,396.4,91
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Robbery,66,35,42,32,22,31,175,43.8,-51.5,-53,-3.1,-29.2,366.7,194.4,233.3,177.8,172.2,243.3,32
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Robbery,56,81,43,56,33,55,236,59,0,-1.8,-1.8,-6.8,373.3,540,286.7,373.3,366.7,393.3,56
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Robbery,9,12,8,10,10,11,39,9.8,11.1,22.2,10,12.2,112.5,150,100,125,137.5,122.5,10
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Robbery,16,21,19,24,11,23,80,20,50,43.8,-4.2,15,200,262.5,237.5,300,287.5,250,24
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Robbery,197,216,192,199,90,155,804,201,1,-21.3,-22.1,-22.9,447.7,490.9,436.4,452.3,352.3,456.8,199
12D20,12,3.83700574,Sagemont,22000,Robbery,46,68,54,33,15,28,201,50.2,-28.3,-39.1,-15.2,-44.2,209.1,309.1,245.5,150,127.3,228.2,33
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Robbery,19,24,23,10,5,6,76,19,-47.4,-68.4,-40,-68.4,126.7,160,153.3,66.7,40,126.7,10
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Robbery,23,25,15,17,9,14,80,20,-26.1,-39.1,-17.6,-30,209.1,227.3,136.4,154.5,127.3,181.8,17
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Robbery,11,4,5,9,1,6,29,7.2,-18.2,-45.5,-33.3,-16.7,42.3,15.4,19.2,34.6,23.1,27.7,9
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Robbery,21,19,14,10,3,7,64,16,-52.4,-66.7,-30,-56.2,95.5,86.4,63.6,45.5,31.8,72.7,10
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Robbery,37,25,30,20,19,24,112,28,-45.9,-35.1,20,-14.3,308.3,208.3,250,166.7,200,233.3,20
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Robbery,160,114,94,94,66,92,462,115.5,-41.2,-42.5,-2.1,-20.3,695.7,495.7,408.7,408.7,400,502.2,94
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Robbery,223,210,184,158,94,130,775,193.8,-29.1,-41.7,-17.7,-32.9,619.4,583.3,511.1,438.9,361.1,538.3,158
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Robbery,7,2,2,4,3,6,15,3.8,-42.9,-14.3,50,57.9,350,100,100,200,300,190,4
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Robbery,24,44,30,28,16,22,126,31.5,16.7,-8.3,-21.4,-30.2,184.6,338.5,230.8,215.4,169.2,242.3,28
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Robbery,148,135,108,93,59,88,484,121,-37.2,-40.5,-5.4,-27.3,870.6,794.1,635.3,547.1,517.6,711.8,93
