beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Property,320,387,357,368,438,1064,354.7,11.6,36.9,22.7,23,2909.1,3518.2,3245.5,3981.8,3224.5
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Property,395,400,311,256,316,1106,368.7,-21.3,-20,1.6,-14,3950,4000,3110,3160,3687
10H30,10,1.02691154,Near East End,4000,Property,780,529,631,685,842,1940,646.7,-19.1,7.9,33.4,30,19500,13225,15775,21050,16167.5
10H40,10,0.99627062,Midtown,8000,Property,1518,1050,981,1021,1275,3549,1183,-35.4,-16,30,8,18975,13125,12262.5,15937.5,14787.5
10H50,10,2.30843079,the University of Houston area,13000,Property,833,781,729,686,870,2343,781,-12.5,4.4,19.3,11,6407.7,6007.7,5607.7,6692.3,6007.7
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Property,772,763,900,768,961,2435,811.7,16.6,24.5,6.8,18,3860,3815,4500,4805,4058.5
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Property,1285,1215,1089,1162,1431,3589,1196.3,-15.3,11.4,31.4,20,8031.2,7593.8,6806.2,8943.8,7476.9
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Property,871,663,668,607,777,2202,734,-23.3,-10.8,16.3,6,4584.2,3489.5,3515.8,4089.5,3863.2
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Property,1087,1115,950,743,942,3152,1050.7,-12.6,-13.3,-0.8,-10,3882.1,3982.1,3392.9,3364.3,3752.5
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Property,387,450,465,333,410,1302,434,20.2,5.9,-11.8,-6,2150,2500,2583.3,2277.8,2411.1
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Property,644,747,558,403,519,1949,649.7,-13.4,-19.4,-7,-20,4293.3,4980,3720,3460,4331.3
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Property,178,202,168,118,152,548,182.7,-5.6,-14.6,-9.5,-17,2225,2525,2100,1900,2283.8
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Property,264,306,348,276,357,918,306,31.8,35.2,2.6,17,3300,3825,4350,4462.5,3825
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Property,1898,2044,2007,1704,2204,5949,1983,5.7,16.1,9.8,11,4313.6,4645.5,4561.4,5009.1,4506.8
12D20,12,3.83700574,Sage,22000,Property,835,821,835,726,912,2491,830.3,0,9.2,9.2,10,3795.5,3731.8,3795.5,4145.5,3774.1
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Property,379,418,365,335,405,1162,387.3,-3.7,6.9,11,5,2526.7,2786.7,2433.3,2700,2582
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Property,322,359,335,293,361,1016,338.7,4,12.1,7.8,7,2927.3,3263.6,3045.5,3281.8,3079.1
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Property,224,179,165,131,171,568,189.3,-26.3,-23.7,3.6,-10,861.5,688.5,634.6,657.7,728.1
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Property,343,402,377,266,363,1122,374,9.9,5.8,-3.7,-3,1559.1,1827.3,1713.6,1650,1700
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Property,1128,1084,1214,943,1255,3426,1142,7.6,11.3,3.4,10,9400,9033.3,10116.7,10458.3,9516.7
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Property,1031,1072,1008,792,1009,3111,1037,-2.2,-2.1,0.1,-3,4482.6,4660.9,4382.6,4387,4508.7
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Property,1538,1486,1447,1146,1449,4471,1490.3,-5.9,-5.8,0.1,-3,4272.2,4127.8,4019.4,4025,4139.7
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Property,129,122,141,78,107,392,130.7,9.3,-17.1,-24.1,-18,6450,6100,7050,5350,6535
