beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Assault,821,890,824,721,344,742,3256,814,-12.2,-9.6,2.9,-8.8,3569.6,3869.6,3582.6,3134.8,3226.1,3539.1,721
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Assault,363,307,319,333,134,319,1322,330.5,-8.3,-12.1,-4.2,-3.5,3300,2790.9,2900,3027.3,2900,3004.5,333
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Assault,226,261,270,308,124,270,1065,266.2,36.3,19.5,-12.3,1.4,2260,2610,2700,3080,2700,2662,308
10H30,10,1.02691154,Near East End,4000,Assault,162,190,204,212,103,208,768,192,30.9,28.4,-1.9,8.3,4050,4750,5100,5300,5200,4800,212
10H40,10,0.99627062,Midtown,8000,Assault,677,609,580,579,298,587,2445,611.2,-14.5,-13.3,1.4,-4,8462.5,7612.5,7250,7237.5,7337.5,7640,579
10H50,10,2.30843079,the University of Houston area,13000,Assault,838,800,729,723,330,696,3090,772.5,-13.7,-16.9,-3.7,-9.9,6446.2,6153.8,5607.7,5561.5,5353.8,5942.3,723
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Assault,572,643,621,698,310,668,2534,633.5,22,16.8,-4.3,5.4,2860,3215,3105,3490,3340,3167.5,698
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Assault,469,512,548,509,239,516,2038,509.5,8.5,10,1.4,1.3,2931.2,3200,3425,3181.2,3225,3184.4,509
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Assault,115,136,128,156,69,161,535,133.8,35.7,40,3.2,20.3,605.3,715.8,673.7,821.1,847.4,704.2,156
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Assault,895,1103,929,1016,450,982,3943,985.8,13.5,9.7,-3.3,-0.4,3196.4,3939.3,3317.9,3628.6,3507.1,3520.7,1016
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Assault,455,511,535,474,188,419,1975,493.8,4.2,-7.9,-11.6,-15.1,2527.8,2838.9,2972.2,2633.3,2327.8,2743.3,474
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Assault,449,566,533,530,232,487,2078,519.5,18,8.5,-8.1,-6.3,2993.3,3773.3,3553.3,3533.3,3246.7,3463.3,530
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Assault,134,200,150,161,71,163,645,161.2,20.1,21.6,1.2,1.1,1675,2500,1875,2012.5,2037.5,2015,161
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Assault,153,210,223,197,143,222,783,195.8,28.8,45.1,12.7,13.4,1912.5,2625,2787.5,2462.5,2775,2447.5,197
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Assault,1166,1553,1713,1506,601,1317,5938,1484.5,29.2,13,-12.5,-11.3,2650,3529.5,3893.2,3422.7,2993.2,3373.9,1506
12D20,12,3.83700574,Sagemont,22000,Assault,410,527,498,494,197,466,1929,482.2,20.5,13.7,-5.7,-3.4,1863.6,2395.5,2263.6,2245.5,2118.2,2191.8,494
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Assault,245,278,269,247,119,242,1039,259.8,0.8,-1.2,-2,-6.9,1633.3,1853.3,1793.3,1646.7,1613.3,1732,247
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Assault,265,315,352,286,114,251,1218,304.5,7.9,-5.3,-12.2,-17.6,2409.1,2863.6,3200,2600,2281.8,2768.2,286
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Assault,119,127,142,157,65,157,545,136.2,31.9,31.9,0,15.3,457.7,488.5,546.2,603.8,603.8,523.8,157
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Assault,230,362,367,283,162,312,1242,310.5,23,35.7,10.2,0.5,1045.5,1645.5,1668.2,1286.4,1418.2,1411.4,283
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Assault,254,313,304,303,150,310,1174,293.5,19.3,22,2.3,5.6,2116.7,2608.3,2533.3,2525,2583.3,2445.8,303
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Assault,632,735,660,700,304,636,2727,681.8,10.8,0.6,-9.1,-6.7,2747.8,3195.7,2869.6,3043.5,2765.2,2964.3,700
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Assault,1173,1252,1012,1095,523,1063,4532,1133,-6.6,-9.4,-2.9,-6.2,3258.3,3477.8,2811.1,3041.7,2952.8,3147.2,1095
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Assault,49,52,56,50,22,44,207,51.8,2,-10.2,-12,-15.1,2450,2600,2800,2500,2200,2590,50
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Assault,185,227,204,214,96,195,830,207.5,15.7,5.4,-8.9,-6,1423.1,1746.2,1569.2,1646.2,1500,1596.2,214
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Assault,1140,1209,1040,977,516,1012,4366,1091.5,-14.3,-11.2,3.6,-7.3,6705.9,7111.8,6117.6,5747.1,5952.9,6420.6,977
14D20,14,7.25646368,"Sunnyside, Brook Haven and Bayou Estates",28000,Assault,1828,2056,1856,1764,890,1787,7504,1876,-3.5,-2.2,1.3,-4.7,6528.6,7342.9,6628.6,6300,6382.1,6700,1764
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Assault,883,946,876,850,416,843,3555,888.8,-3.7,-4.5,-0.8,-5.2,4204.8,4504.8,4171.4,4047.6,4014.3,4232.4,850
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Assault,715,777,766,725,324,679,2983,745.8,1.4,-5,-6.3,-9,3404.8,3700,3647.6,3452.4,3233.3,3551.4,725
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Assault,209,294,299,297,142,277,1099,274.8,42.1,32.5,-6.7,0.8,2322.2,3266.7,3322.2,3300,3077.8,3053.3,297
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Assault,395,440,487,383,176,356,1705,426.2,-3,-9.9,-7,-16.5,1645.8,1833.3,2029.2,1595.8,1483.3,1775.8,383
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Assault,312,350,300,281,124,263,1243,310.8,-9.9,-15.7,-6.4,-15.4,1733.3,1944.4,1666.7,1561.1,1461.1,1726.7,281
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Assault,475,542,523,540,226,497,2080,520,13.7,4.6,-8,-4.4,1397.1,1594.1,1538.2,1588.2,1461.8,1529.4,540
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Assault,1027,1103,1210,1193,518,1107,4533,1133.2,16.2,7.8,-7.2,-2.3,3423.3,3676.7,4033.3,3976.7,3690,3777.3,1193
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Assault,265,293,250,301,116,262,1109,277.2,13.6,-1.1,-13,-5.5,1766.7,1953.3,1666.7,2006.7,1746.7,1848,301
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Assault,748,890,900,816,354,739,3354,838.5,9.1,-1.2,-9.4,-11.9,2137.1,2542.9,2571.4,2331.4,2111.4,2395.7,816
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Assault,545,574,553,556,236,513,2228,557,2,-5.9,-7.7,-7.9,2477.3,2609.1,2513.6,2527.3,2331.8,2531.8,556
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Assault,749,821,773,658,308,611,3001,750.2,-12.1,-18.4,-7.1,-18.6,2140,2345.7,2208.6,1880,1745.7,2143.4,658
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Assault,1287,1512,1542,1459,675,1414,5800,1450,13.4,9.9,-3.1,-2.5,2523.5,2964.7,3023.5,2860.8,2772.5,2843.1,1459
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Assault,552,687,653,620,334,644,2512,628,12.3,16.7,3.9,2.5,2044.4,2544.4,2418.5,2296.3,2385.2,2325.9,620
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Assault,658,810,626,680,346,722,2774,693.5,3.3,9.7,6.2,4.1,3133.3,3857.1,2981,3238.1,3438.1,3302.4,680
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Assault,1575,1745,1660,1574,769,1538,6554,1638.5,-0.1,-2.3,-2.3,-6.1,3423.9,3793.5,3608.7,3421.7,3343.5,3562,1574
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Assault,84,75,97,116,49,107,372,93,38.1,27.4,-7.8,15.1,1200,1071.4,1385.7,1657.1,1528.6,1328.6,116
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Assault,516,463,550,627,275,583,2156,539,21.5,13,-7,8.2,2150,1929.2,2291.7,2612.5,2429.2,2245.8,627
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Assault,785,952,913,879,485,931,3529,882.2,12,18.6,5.9,5.5,2180.6,2644.4,2536.1,2441.7,2586.1,2450.6,879
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Assault,975,1137,1176,1195,484,1071,4483,1120.8,22.6,9.8,-10.4,-4.4,2785.7,3248.6,3360,3414.3,3060,3202.3,1195
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Assault,687,770,895,913,379,845,3265,816.2,32.9,23,-7.4,3.5,3435,3850,4475,4565,4225,4081,913
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Assault,510,646,637,495,242,469,2288,572,-2.9,-8,-5.3,-18,1821.4,2307.1,2275,1767.9,1675,2042.9,495
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Assault,1223,1299,1308,1231,539,1141,5061,1265.2,0.7,-6.7,-7.3,-9.8,3945.2,4190.3,4219.4,3971,3680.6,4081.3,1231
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Assault,491,491,496,425,213,431,1903,475.8,-13.4,-12.2,1.4,-9.4,1964,1964,1984,1700,1724,1903.2,425
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Assault,343,344,363,302,142,303,1352,338,-12,-11.7,0.3,-10.4,1905.6,1911.1,2016.7,1677.8,1683.3,1877.8,302
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Assault,812,904,916,844,419,850,3476,869,3.9,4.7,0.7,-2.2,2194.6,2443.2,2475.7,2281.1,2297.3,2348.6,844
