beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Burglary,53,87,64,61,68,19,66,280,70,-21.8,-24.1,-2.9,-5.7,481.8,790.9,581.8,554.5,618.2,600,636.4,68
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Burglary,62,86,59,64,65,7,58,274,68.5,-24.4,-32.6,-10.8,-15.3,620,860,590,640,650,580,685,65
10H30,10,1.02691154,Near East End,4000,Burglary,51,50,47,58,86,17,77,241,60.2,72,54,-10.5,27.9,1275,1250,1175,1450,2150,1925,1505,86
10H40,10,0.99627062,Midtown,8000,Burglary,141,151,102,141,100,19,82,494,123.5,-33.8,-45.7,-18,-33.6,1762.5,1887.5,1275,1762.5,1250,1025,1543.8,100
10H50,10,2.30843079,the University of Houston area,13000,Burglary,187,188,158,142,158,35,165,646,161.5,-16,-12.2,4.4,2.2,1438.5,1446.2,1215.4,1092.3,1215.4,1269.2,1242.3,158
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Burglary,137,124,141,112,147,19,133,524,131,18.5,7.3,-9.5,1.5,685,620,705,560,735,665,655,147
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Burglary,154,136,111,108,87,18,83,442,110.5,-36,-39,-4.6,-24.9,962.5,850,693.8,675,543.8,518.8,690.6,87
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Burglary,119,101,87,71,62,21,67,321,80.2,-38.6,-33.7,8.1,-16.5,626.3,531.6,457.9,373.7,326.3,352.6,422.1,62
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Burglary,177,176,125,153,141,26,119,595,148.8,-19.9,-32.4,-15.6,-20,632.1,628.6,446.4,546.4,503.6,425,531.4,141
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Burglary,55,62,62,81,85,5,57,290,72.5,37.1,-8.1,-32.9,-21.4,305.6,344.4,344.4,450,472.2,316.7,402.8,85
