beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Theft,90,76,86,112,88,45,110,362,90.5,15.8,44.7,25,21.5,1500,1266.7,1433.3,1866.7,1466.7,1833.3,1508.3,88
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Theft,304,359,267,379,270,109,305,1275,318.8,-24.8,-15,13,-4.3,1900,2243.8,1668.8,2368.8,1687.5,1906.2,1992.5,270
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Theft,521,434,392,476,492,137,506,1794,448.5,13.4,16.6,2.8,12.8,5788.9,4822.2,4355.6,5288.9,5466.7,5622.2,4983.3,492
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Theft,745,826,773,899,791,204,792,3289,822.2,-4.2,-4.1,0.1,-3.7,3239.1,3591.3,3360.9,3908.7,3439.1,3443.5,3574.8,791
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Theft,216,240,230,301,299,72,324,1070,267.5,24.6,35,8.4,21.1,1963.6,2181.8,2090.9,2736.4,2718.2,2945.5,2431.8,299
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Theft,290,257,202,208,230,49,226,897,224.2,-10.5,-12.1,-1.7,0.8,2900,2570,2020,2080,2300,2260,2242,230
10H30,10,1.02691154,Near East End,4000,Theft,674,430,498,723,805,144,792,2456,614,87.2,84.2,-1.6,29,16850,10750,12450,18075,20125,19800,15350,805
10H40,10,0.99627062,Midtown,8000,Theft,1288,819,766,1051,805,193,773,3441,860.2,-1.7,-5.6,-4,-10.1,16100,10237.5,9575,13137.5,10062.5,9662.5,10752.5,805
10H50,10,2.30843079,the University of Houston area,13000,Theft,570,534,497,638,671,158,675,2340,585,25.7,26.4,0.6,15.4,4384.6,4107.7,3823.1,4907.7,5161.5,5192.3,4500,671
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Theft,555,559,665,785,758,165,722,2767,691.8,35.6,29.2,-4.7,4.4,2775,2795,3325,3925,3790,3610,3459,758
