beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
14D20,14,7.25646368,"Sunnyside, Brook Haven and Bayou Estates",28000,Auto Theft,150,160,132,197,283,49,285,772,193,76.9,78.1,0.7,47.7,535.7,571.4,471.4,703.6,1010.7,1017.9,689.3,283
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Auto Theft,76,102,82,114,107,27,115,405,101.2,4.9,12.7,7.5,13.6,361.9,485.7,390.5,542.9,509.5,547.6,481.9,107
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Auto Theft,73,71,85,120,133,22,127,409,102.2,87.3,78.9,-4.5,24.3,347.6,338.1,404.8,571.4,633.3,604.8,486.7,133
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Auto Theft,44,40,64,64,66,14,58,234,58.5,65,45,-12.1,-0.9,488.9,444.4,711.1,711.1,733.3,644.4,650,66
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Auto Theft,73,61,65,80,115,24,117,321,80.2,88.5,91.8,1.7,45.9,304.2,254.2,270.8,333.3,479.2,487.5,334.2,115
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Auto Theft,62,51,55,59,46,12,46,211,52.8,-9.8,-9.8,0,-12.9,344.4,283.3,305.6,327.8,255.6,255.6,293.3,46
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Auto Theft,112,159,128,170,235,31,208,692,173,47.8,30.8,-11.5,20.2,329.4,467.6,376.5,500,691.2,611.8,508.8,235
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Auto Theft,243,284,232,418,563,134,539,1497,374.2,98.2,89.8,-4.3,44,810,946.7,773.3,1393.3,1876.7,1796.7,1247.3,563
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Auto Theft,50,72,85,93,104,22,101,354,88.5,44.4,40.3,-2.9,14.1,333.3,480,566.7,620,693.3,673.3,590,104
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Auto Theft,123,110,131,128,176,49,187,545,136.2,60,70,6.2,37.3,351.4,314.3,374.3,365.7,502.9,534.3,389.1,176
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Auto Theft,81,116,83,103,126,25,128,428,107,8.6,10.3,1.6,19.6,368.2,527.3,377.3,468.2,572.7,581.8,486.4,126
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Auto Theft,88,96,122,92,145,23,140,455,113.8,51,45.8,-3.4,23,251.4,274.3,348.6,262.9,414.3,400,325.1,145
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Auto Theft,353,363,382,394,373,94,377,1512,378,2.8,3.9,1.1,-0.3,692.2,711.8,749,772.5,731.4,739.2,741.2,373
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Auto Theft,143,112,108,141,122,48,147,483,120.8,8.9,31.2,20.5,21.7,529.6,414.8,400,522.2,451.9,544.4,447.4,122
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Auto Theft,166,188,170,186,172,43,179,716,179,-8.5,-4.8,4.1,0,790.5,895.2,809.5,885.7,819,852.4,852.4,172
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Auto Theft,258,220,223,221,277,73,287,941,235.2,25.9,30.5,3.6,22,560.9,478.3,484.8,480.4,602.2,623.9,511.3,277
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Auto Theft,31,35,44,46,47,18,55,172,43,34.3,57.1,17,27.9,442.9,500,628.6,657.1,671.4,785.7,614.3,47
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Auto Theft,103,216,262,383,289,48,261,1150,287.5,33.8,20.8,-9.7,-9.2,429.2,900,1091.7,1595.8,1204.2,1087.5,1197.9,289
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Auto Theft,191,186,298,297,242,60,237,1023,255.8,30.1,27.4,-2.1,-7.3,530.6,516.7,827.8,825,672.2,658.3,710.6,242
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Auto Theft,196,208,288,273,300,55,297,1069,267.2,44.2,42.8,-1,11.2,560,594.3,822.9,780,857.1,848.6,763.4,300
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Auto Theft,278,283,320,326,345,76,337,1274,318.5,21.9,19.1,-2.3,5.8,1390,1415,1600,1630,1725,1685,1592.5,345
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Auto Theft,161,188,191,169,199,58,218,747,186.8,5.9,16,9.5,16.7,575,671.4,682.1,603.6,710.7,778.6,667.1,199
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Auto Theft,303,296,295,290,298,73,305,1179,294.8,0.7,3,2.3,3.5,977.4,954.8,951.6,935.5,961.3,983.9,951,298
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Auto Theft,116,147,136,113,125,24,117,521,130.2,-15,-20.4,-6.4,-10.1,464,588,544,452,500,468,520.8,125
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Auto Theft,73,91,64,54,61,10,59,270,67.5,-33,-35.2,-3.3,-12.6,405.6,505.6,355.6,300,338.9,327.8,375,61
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Auto Theft,141,146,144,155,141,30,132,586,146.5,-3.4,-9.6,-6.4,-9.9,381.1,394.6,389.2,418.9,381.1,356.8,395.9,141
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Auto Theft,147,173,165,157,164,27,138,659,164.8,-5.2,-20.2,-15.9,-16.3,816.7,961.1,916.7,872.2,911.1,766.7,915.6,164
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Auto Theft,155,171,223,219,237,54,245,850,212.5,38.6,43.3,3.4,15.3,534.5,589.7,769,755.2,817.2,844.8,732.8,237
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Auto Theft,65,69,67,66,115,24,118,317,79.2,66.7,71,2.6,49,361.1,383.3,372.2,366.7,638.9,655.6,440,115
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Auto Theft,129,138,143,170,205,44,227,656,164,48.6,64.5,10.7,38.4,496.2,530.8,550,653.8,788.5,873.1,630.8,205
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Auto Theft,79,107,108,99,225,42,219,539,134.8,110.3,104.7,-2.7,62.5,282.1,382.1,385.7,353.6,803.6,782.1,481.4,225
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Auto Theft,59,79,66,114,156,32,155,415,103.8,97.5,96.2,-0.6,49.3,281,376.2,314.3,542.9,742.9,738.1,494.3,156
20G80,20,25.33626534,City Limits,37000,Auto Theft,105,162,163,174,258,45,242,757,189.2,59.3,49.4,-6.2,27.9,283.8,437.8,440.5,470.3,697.3,654.1,511.4,258
21I10,21,0.00549966,Intercontinental Airport,0,Auto Theft,0,7,20,20,33,4,28,80,20,371.4,300,-15.2,40,NA,NA,NA,NA,NA,NA,NA,33
21I20,21,0.01205019,Intercontinental Airport,0,Auto Theft,0,0,3,1,0,0,0,4,1,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,0
21I30,21,0.01180375,Intercontinental Airport,0,Auto Theft,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I40,21,0.00923163,Intercontinental Airport,0,Auto Theft,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I50,21,14.61100076,Intercontinental Airport,0,Auto Theft,181,157,200,137,301,33,273,795,198.8,91.7,73.9,-9.3,37.3,NA,NA,NA,NA,NA,NA,NA,301
21I70,21,0.01945113,Intercontinental Airport,0,Auto Theft,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Auto Theft,165,185,137,186,303,71,327,811,202.8,63.8,76.8,7.9,61.2,2062.5,2312.5,1712.5,2325,3787.5,4087.5,2535,303
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Auto Theft,196,215,201,173,231,56,236,820,205,7.4,9.8,2.2,15.1,466.7,511.9,478.6,411.9,550,561.9,488.1,231
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Auto Theft,141,162,177,162,201,40,194,702,175.5,24.1,19.8,-3.5,10.5,613,704.3,769.6,704.3,873.9,843.5,763,201
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Auto Theft,102,135,137,194,221,28,187,687,171.8,63.7,38.5,-15.4,8.8,340,450,456.7,646.7,736.7,623.3,572.7,221
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Auto Theft,77,108,115,148,146,39,148,517,129.2,35.2,37,1.4,14.6,275,385.7,410.7,528.6,521.4,528.6,461.4,146
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",23000,Auto Theft,77,108,125,121,160,14,136,514,128.5,48.1,25.9,-15,5.8,334.8,469.6,543.5,526.1,695.7,591.3,558.7,160
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Auto Theft,92,141,136,160,249,42,236,686,171.5,76.6,67.4,-5.2,37.6,511.1,783.3,755.6,888.9,1383.3,1311.1,952.8,249
24C10,24,5.44044978,Kingwood,13000,Auto Theft,21,22,27,33,25,4,25,107,26.8,13.6,13.6,0,-6.7,161.5,169.2,207.7,253.8,192.3,192.3,206.2,25
24C20,24,6.8291794,Kingwood,18000,Auto Theft,18,22,28,19,17,7,20,86,21.5,-22.7,-9.1,17.6,-7,100,122.2,155.6,105.6,94.4,111.1,119.4,17
24C30,24,9.78735527,Kingwood,29000,Auto Theft,18,22,22,16,20,6,17,80,20,-9.1,-22.7,-15,-15,62.1,75.9,75.9,55.2,69,58.6,69,20
24C40,24,35.7992771,Kingwood,6000,Auto Theft,18,25,18,24,14,7,15,81,20.2,-44,-40,7.1,-25.7,300,416.7,300,400,233.3,250,336.7,14
24C50,24,7.51791807,Kingwood,5000,Auto Theft,89,119,117,102,133,33,136,471,117.8,11.8,14.3,2.3,15.4,1780,2380,2340,2040,2660,2720,2356,133
24C60,24,4.86823328,Kingwood,21000,Auto Theft,13,14,17,9,18,4,16,58,14.5,28.6,14.3,-11.1,10.3,61.9,66.7,81,42.9,85.7,76.2,69,18
21I60,21,0.01236886,Intercontinental Airport,0,Auto Theft,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
