beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Sexual Assault,2,1,0,1,1,0,0,4,1,-50,-100,-100,-100,28.6,14.3,0,14.3,0,14.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Theft,152,144,141,141,99,20,110,578,144.5,-7.2,-27.6,-22,-23.9,2171.4,2057.1,2014.3,2014.3,1571.4,2064.3
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Arson,1,0,1,0,2,0,2,2,0.5,-100,100,NA,300,3.8,0,3.8,0,7.7,1.9
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Assault,322,435,458,502,485,31,481,1717,429.2,55.9,49.4,-4.2,12.1,1238.5,1673.1,1761.5,1930.8,1850,1650.8
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Auto Theft,140,205,236,332,317,20,307,913,228.2,137.1,119.3,-7.5,34.5,538.5,788.5,907.7,1276.9,1180.8,877.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Burglary,240,212,142,166,145,16,143,760,190,-30.8,-40.4,-13.9,-24.7,923.1,815.4,546.2,638.5,550,730.8
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Drug Offenses,38,41,45,53,46,0,42,177,44.2,39.5,10.5,-20.8,-5,146.2,157.7,173.1,203.8,161.5,170
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Kidnapping,1,2,2,2,3,0,3,7,1.8,100,200,50,66.7,3.8,7.7,7.7,7.7,11.5,6.9
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Murder,0,0,5,3,1,0,1,8,2,NA,NA,-66.7,-50,0,0,19.2,11.5,3.8,7.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Other,485,710,722,709,772,35,742,2626,656.5,46.2,53,4.7,13,1865.4,2730.8,2776.9,2726.9,2853.8,2525
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Robbery,50,53,83,37,42,2,39,223,55.8,-26,-22,5.4,-30.1,192.3,203.8,319.2,142.3,150,214.6
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Sexual Assault,10,13,13,16,12,0,11,52,13,60,10,-31.2,-15.4,38.5,50,50,61.5,42.3,50
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Theft,1517,1418,1368,1594,1520,131,1520,5897,1474.2,5.1,0.2,-4.6,3.1,5834.6,5453.8,5261.5,6130.8,5846.2,5670
2A10,2,3.30928608,Irvington and Ryon,18000,Arson,10,12,6,6,7,2,7,34,8.5,-40,-30,16.7,-17.6,55.6,66.7,33.3,33.3,38.9,47.2
2A10,2,3.30928608,Irvington and Ryon,18000,Assault,802,792,714,671,715,46,721,2979,744.8,-16.3,-10.1,7.5,-3.2,4455.6,4400,3966.7,3727.8,4005.6,4137.8
2A10,2,3.30928608,Irvington and Ryon,18000,Auto Theft,70,104,151,111,173,12,168,436,109,58.6,140,51.4,54.1,388.9,577.8,838.9,616.7,933.3,605.6
2A10,2,3.30928608,Irvington and Ryon,18000,Burglary,131,116,118,170,160,24,172,535,133.8,29.8,31.3,1.2,28.6,727.8,644.4,655.6,944.4,955.6,743.3
2A10,2,3.30928608,Irvington and Ryon,18000,Drug Offenses,220,157,124,112,75,0,71,613,153.2,-49.1,-67.7,-36.6,-53.7,1222.2,872.2,688.9,622.2,394.4,851.1
2A10,2,3.30928608,Irvington and Ryon,18000,Kidnapping,2,2,2,0,6,0,6,6,1.5,-100,200,NA,300,11.1,11.1,11.1,0,33.3,8.3
2A10,2,3.30928608,Irvington and Ryon,18000,Murder,6,4,3,5,4,2,5,18,4.5,-16.7,-16.7,0,11.1,33.3,22.2,16.7,27.8,27.8,25
2A10,2,3.30928608,Irvington and Ryon,18000,Other,334,753,725,817,720,28,691,2629,657.2,144.6,106.9,-15.4,5.1,1855.6,4183.3,4027.8,4538.9,3838.9,3651.1
2A10,2,3.30928608,Irvington and Ryon,18000,Robbery,112,100,71,74,70,3,70,357,89.2,-33.9,-37.5,-5.4,-21.5,622.2,555.6,394.4,411.1,388.9,495.6
2A10,2,3.30928608,Irvington and Ryon,18000,Sexual Assault,13,18,21,11,22,2,22,63,15.8,-15.4,69.2,100,39.2,72.2,100,116.7,61.1,122.2,87.8
2A10,2,3.30928608,Irvington and Ryon,18000,Theft,498,516,435,575,621,80,670,2024,506,15.5,34.5,16.5,32.4,2766.7,2866.7,2416.7,3194.4,3722.2,2811.1
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Arson,3,2,1,4,3,0,3,10,2.5,33.3,0,-25,20,27.3,18.2,9.1,36.4,27.3,22.7
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Assault,296,349,294,247,233,34,259,1186,296.5,-16.6,-12.5,4.9,-12.6,2690.9,3172.7,2672.7,2245.5,2354.5,2695.5
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Auto Theft,58,64,81,84,108,8,108,287,71.8,44.8,86.2,28.6,50.4,527.3,581.8,736.4,763.6,981.8,652.7
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Burglary,94,77,80,75,75,14,83,326,81.5,-20.2,-11.7,10.7,1.8,854.5,700,727.3,681.8,754.5,740.9
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Drug Offenses,116,71,71,44,35,0,33,302,75.5,-62.1,-71.6,-25,-56.3,1054.5,645.5,645.5,400,300,686.4
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Kidnapping,0,0,0,3,0,0,0,3,0.8,NA,NA,-100,-100,0,0,0,27.3,0,7.3
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Murder,0,2,1,3,1,0,1,6,1.5,NA,NA,-66.7,-33.3,0,18.2,9.1,27.3,9.1,13.6
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Other,191,319,370,351,325,15,319,1231,307.8,83.8,67,-9.1,3.6,1736.4,2900,3363.6,3190.9,2900,2798.2
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Robbery,63,54,29,34,46,2,42,180,45,-46,-33.3,23.5,-6.7,572.7,490.9,263.6,309.1,381.8,409.1
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Sexual Assault,5,5,5,9,6,0,5,24,6,80,0,-44.4,-16.7,45.5,45.5,45.5,81.8,45.5,54.5
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Theft,277,286,291,290,289,23,296,1144,286,4.7,6.9,2.1,3.5,2518.2,2600,2645.5,2636.4,2690.9,2600
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Arson,7,14,3,1,2,0,2,25,6.2,-85.7,-71.4,100,-67.7,22.6,45.2,9.7,3.2,6.5,20
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Assault,341,311,320,284,294,25,302,1256,314,-16.7,-11.4,6.3,-3.8,1100,1003.2,1032.3,916.1,974.2,1012.9
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Auto Theft,128,142,178,241,266,50,301,689,172.2,88.3,135.2,24.9,74.8,412.9,458.1,574.2,777.4,971,555.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Burglary,276,175,142,155,117,20,127,748,187,-43.8,-54,-18.1,-32.1,890.3,564.5,458.1,500,409.7,603.2
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Drug Offenses,52,51,38,38,28,0,28,179,44.8,-26.9,-46.2,-26.3,-37.5,167.7,164.5,122.6,122.6,90.3,144.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Kidnapping,1,0,1,0,1,0,1,2,0.5,-100,0,NA,100,3.2,0,3.2,0,3.2,1.6
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Murder,0,0,2,5,1,0,1,7,1.8,NA,NA,-80,-44.4,0,0,6.5,16.1,3.2,5.8
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Other,331,588,578,606,622,36,614,2103,525.8,83.1,85.5,1.3,16.8,1067.7,1896.8,1864.5,1954.8,1980.6,1696.1
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Robbery,55,48,50,29,41,4,41,182,45.5,-47.3,-25.5,41.4,-9.9,177.4,154.8,161.3,93.5,132.3,146.8
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Sexual Assault,8,6,7,9,11,0,10,30,7.5,12.5,25,11.1,33.3,25.8,19.4,22.6,29,32.3,24.2
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Theft,1200,833,955,1072,1219,152,1302,4060,1015,-10.7,8.5,21.5,28.3,3871,2687.1,3080.6,3458.1,4200,3274.2
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Arson,1,3,1,2,2,0,2,7,1.8,100,100,0,11.1,12.5,37.5,12.5,25,25,22.5
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Assault,121,169,170,185,213,21,222,645,161.2,52.9,83.5,20,37.7,1512.5,2112.5,2125,2312.5,2775,2015
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Auto Theft,48,56,72,96,135,12,134,272,68,100,179.2,39.6,97.1,600,700,900,1200,1675,850
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Burglary,79,65,61,50,40,6,44,255,63.8,-36.7,-44.3,-12,-31,987.5,812.5,762.5,625,550,797.5
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Drug Offenses,39,29,23,32,25,0,23,123,30.8,-17.9,-41,-28.1,-25.3,487.5,362.5,287.5,400,287.5,385
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Kidnapping,0,0,1,0,4,0,4,1,0.2,NA,NA,NA,1900,0,0,12.5,0,50,2.5
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Murder,1,1,0,1,0,0,0,3,0.8,0,-100,-100,-100,12.5,12.5,0,12.5,0,10
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Other,172,319,367,365,412,9,393,1223,305.8,112.2,128.5,7.7,28.5,2150,3987.5,4587.5,4562.5,4912.5,3822.5
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Robbery,23,17,12,12,22,2,22,64,16,-47.8,-4.3,83.3,37.5,287.5,212.5,150,150,275,200
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Sexual Assault,9,5,2,5,9,0,8,21,5.2,-44.4,-11.1,60,53.8,112.5,62.5,25,62.5,100,65
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Theft,548,535,526,509,653,56,654,2118,529.5,-7.1,19.3,28.5,23.5,6850,6687.5,6575,6362.5,8175,6618.8
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Arson,1,3,2,1,0,2,2,7,1.8,0,100,100,11.1,3.4,10.3,6.9,3.4,6.9,6.2
