agency_name,county_total,murder,rape,robbery,assault,burglary,larceny,auto_theft,total,population,months,year,county
Jack County,County Total,1,1,0,10,22,58,24,116,8782,NA,2018,Jack
Jackson County,County Total,0,8,2,11,49,99,11,180,14869,NA,2018,Jackson
Jasper County,County Total,2,21,6,67,165,445,56,762,35432,NA,2018,Jasper
Jeff Davis County,County Total,1,1,0,3,1,4,1,11,2265,NA,2018,Jeff Davis
Jefferson County,County Total,27,151,478,1231,1718,4814,656,9075,256141,NA,2018,Jefferson
Jim Hogg County,County Total,0,0,1,4,4,9,0,18,5175,NA,2018,Jim Hogg
Jim Wells County,County Total,2,23,5,181,438,817,60,1526,38534,NA,2018,Jim Wells
Johnson County,County Total,5,93,35,340,376,1723,200,2772,177347,NA,2018,Johnson
Jones County,County Total,1,0,6,16,39,72,9,143,14250,NA,2018,Jones
Karnes County,County Total,0,1,3,29,86,212,20,351,15189,NA,2018,Karnes
Kaufman County,County Total,6,72,29,150,319,1137,187,1900,125280,NA,2018,Kaufman
Kendall County,County Total,0,22,3,21,61,356,47,510,43365,NA,2018,Kendall
Kenedy County,County Total,0,0,0,2,1,2,2,7,416,NA,2018,Kenedy
Kent County,County Total,0,1,0,1,0,8,1,11,755,NA,2018,Kent
Kerr County,County Total,1,20,6,73,96,474,21,691,51882,NA,2018,Kerr
Kimble County,County Total,0,0,0,5,7,17,4,33,4371,NA,2018,Kimble
King County,County Total,0,0,0,0,0,0,0,0,296,NA,2018,King
Kinney County,County Total,0,0,0,0,1,0,0,1,2008,NA,2018,Kinney
Kleberg County,County Total,0,1,8,104,181,645,25,964,30869,NA,2018,Kleberg
Knox County,County Total,0,1,1,0,22,15,0,39,3698,NA,2018,Knox
Lamar County,County Total,3,17,25,211,212,669,65,1202,49415,NA,2018,Lamar
Lamb County,County Total,0,10,2,35,51,135,15,248,13065,NA,2018,Lamb
Lampasas County,County Total,0,9,1,23,55,197,5,290,19646,NA,2018,Lampasas
La Salle County,County Total,0,1,0,2,6,33,0,42,7664,NA,2018,La Salle
Lavaca County,County Total,1,13,0,31,50,101,10,206,22232,NA,2018,Lavaca
Lee County,County Total,1,12,2,21,24,123,12,195,16015,NA,2018,Lee
Leon County,County Total,1,0,0,19,47,100,15,182,16132,NA,2018,Leon
Liberty County,County Total,2,53,24,192,333,927,175,1706,84637,NA,2018,Liberty
Limestone County,County Total,0,10,4,55,135,292,33,529,23466,NA,2018,Limestone
Lipscomb County,County Total,0,2,0,2,2,17,11,34,3383,NA,2018,Lipscomb
Live Oak County,County Total,0,1,0,9,18,23,3,54,10274,NA,2018,Live Oak
Llano County,County Total,0,0,2,9,36,48,4,99,14804,NA,2018,Llano
Loving County,County Total,0,0,0,0,0,17,0,17,145,NA,2018,Loving
Lubbock County,County Total,14,269,448,1925,2475,8905,1250,15286,305394,NA,2018,Lubbock
Lynn County,County Total,0,0,0,1,14,26,11,52,5130,NA,2018,Lynn
McCulloch County,County Total,0,0,1,4,18,64,10,97,7897,NA,2018,McCulloch
McLennan County,County Total,3,211,142,712,1472,5037,490,8067,249344,NA,2018,McLennan
McMullen County,County Total,0,0,0,1,5,12,1,19,787,NA,2018,McMullen
Madison County,County Total,0,2,4,19,51,119,12,207,14174,NA,2018,Madison
Marion County,County Total,1,4,1,33,52,67,5,163,9977,NA,2018,Marion
Martin County,County Total,0,4,1,7,9,51,11,83,5739,NA,2018,Martin
Mason County,County Total,0,0,0,1,7,9,1,18,4242,NA,2018,Mason
Matagorda County,County Total,5,21,22,110,266,802,47,1273,36756,NA,2018,Matagorda
Maverick County,County Total,1,4,13,55,162,530,21,786,58611,NA,2018,Maverick
Medina County,County Total,1,31,6,79,166,540,67,890,48678,NA,2018,Medina
Menard County,County Total,0,0,0,1,13,0,0,14,2103,NA,2018,Menard
Midland County,County Total,9,63,67,381,464,2470,389,3843,166949,NA,2018,Midland
Milam County,County Total,1,8,4,44,86,197,24,364,25040,NA,2018,Milam
Mills County,County Total,0,0,0,2,6,7,1,16,4901,NA,2018,Mills
Mitchell County,County Total,0,0,1,6,45,98,8,158,8319,NA,2018,Mitchell
Montague County,County Total,0,4,6,36,85,132,22,285,18448,NA,2018,Montague
Montgomery County,County Total,14,190,197,765,1368,5650,707,8891,580733,NA,2018,Montgomery
Moore County,County Total,0,7,1,32,49,233,37,359,22048,NA,2018,Moore
Morris County,County Total,0,7,1,43,42,86,8,187,12363,NA,2018,Morris
Motley County,County Total,0,0,0,1,1,3,0,5,1231,NA,2018,Motley
Nacogdoches County,County Total,4,26,30,109,301,966,61,1497,65526,NA,2018,Nacogdoches
Navarro County,County Total,4,39,15,134,263,728,65,1248,47157,NA,2018,Navarro
Newton County,County Total,1,0,1,22,43,55,20,142,13844,NA,2018,Newton
Nolan County,County Total,0,7,5,47,154,168,18,399,13375,NA,2018,Nolan
Nueces County,County Total,30,319,529,1925,2398,9775,984,15960,363284,NA,2018,Nueces
Ochiltree County,County Total,0,6,0,27,60,124,9,226,10033,NA,2018,Ochiltree
Oldham County,County Total,0,0,0,2,2,3,1,8,2117,NA,2018,Oldham
Orange County,County Total,2,44,29,155,396,820,172,1618,84711,NA,2018,Orange
Palo Pinto County,County Total,0,5,10,39,153,298,46,551,28717,NA,2018,Palo Pinto
Panola County,County Total,2,16,5,49,123,336,18,549,22846,NA,2018,Panola
Parker County,County Total,2,60,18,163,324,1157,128,1852,133333,NA,2018,Parker
Parmer County,County Total,0,2,2,11,16,26,9,66,9756,NA,2018,Parmer
Pecos County,County Total,1,3,2,59,67,119,13,264,15607,NA,2018,Pecos
Polk County,County Total,1,22,12,84,232,534,65,950,49580,NA,2018,Polk
Potter County,County Total,12,210,305,1138,1581,6169,937,10352,216266,NA,2018,Potter
Presidio County,County Total,0,0,0,6,1,3,1,11,4732,NA,2018,Presidio
Rains County,County Total,0,1,0,17,28,63,11,120,11857,NA,2018,Rains
Randall County,County Total,0,26,7,35,87,282,28,465,39723,NA,2018,Randall
Reagan County,County Total,0,0,0,8,12,41,6,67,3754,NA,2018,Reagan
Real County,County Total,0,0,0,6,18,26,3,53,3435,NA,2018,Real
Red River County,County Total,0,4,0,19,41,37,4,105,8937,NA,2018,Red River
Reeves County,County Total,0,17,6,105,26,240,5,399,15457,NA,2018,Reeves
Refugio County,County Total,0,0,0,11,15,39,6,71,7183,NA,2018,Refugio
Roberts County,County Total,0,0,0,0,0,7,0,7,937,NA,2018,Roberts
Robertson County,County Total,1,8,8,27,75,142,24,285,17250,NA,2018,Robertson
Rockwall County,County Total,1,35,9,54,95,906,112,1212,92379,NA,2018,Rockwall
Runnels County,County Total,0,0,1,26,48,62,3,140,10203,NA,2018,Runnels
Rusk County,County Total,0,15,13,141,293,731,81,1274,49509,NA,2018,Rusk
Sabine County,County Total,0,5,0,32,63,63,17,180,9570,NA,2018,Sabine
San Augustine County,County Total,0,3,1,17,26,25,7,79,8147,NA,2018,San Augustine
San Jacinto County,County Total,0,16,2,24,144,168,48,402,28457,NA,2018,San Jacinto
San Patricio County,County Total,4,26,10,146,265,855,75,1381,59969,NA,2018,San Patricio
San Saba County,County Total,0,1,0,15,42,36,5,99,5919,NA,2018,San Saba
Schleicher County,County Total,0,0,0,0,3,21,3,27,2928,NA,2018,Schleicher
Scurry County,County Total,0,5,2,34,65,155,5,266,17020,NA,2018,Scurry
Shackelford County,County Total,0,0,0,0,3,4,2,9,3311,NA,2018,Shackelford
Shelby County,County Total,1,6,1,31,102,205,7,353,24309,NA,2018,Shelby
Sherman County,County Total,0,1,0,0,4,0,0,5,978,NA,2018,Sherman
Smith County,County Total,17,149,97,510,884,3667,365,5689,229600,NA,2018,Smith
Somervell County,County Total,1,1,1,2,6,28,1,40,8871,NA,2018,Somervell
Starr County,County Total,0,15,7,132,109,331,47,641,64758,NA,2018,Starr
Stephens County,County Total,2,4,1,8,55,117,7,194,9272,NA,2018,Stephens
Sterling County,County Total,0,0,0,1,1,3,0,5,1316,NA,2018,Sterling
Stonewall County,County Total,0,0,0,4,1,2,0,7,1369,NA,2018,Stonewall
Sutton County,County Total,0,2,1,4,1,24,2,34,3717,NA,2018,Sutton
Swisher County,County Total,0,3,3,31,38,94,10,179,7507,NA,2018,Swisher
Tarrant County,County Total,71,1114,1807,4757,7868,38896,5543,60056,2027460,NA,2018,Tarrant
Taylor County,County Total,8,147,105,416,805,2724,241,4446,142229,NA,2018,Taylor
Terrell County,County Total,0,0,0,0,0,0,0,0,783,NA,2018,Terrell
Terry County,County Total,1,5,2,37,54,110,16,225,12684,NA,2018,Terry
Throckmorton County,County Total,0,1,0,3,5,0,0,9,1508,NA,2018,Throckmorton
Titus County,County Total,2,22,11,81,130,559,42,847,32882,NA,2018,Titus
Tom Green County,County Total,3,97,51,246,703,2793,264,4157,118773,NA,2018,Tom Green
Travis County,County Total,38,956,1096,2718,5504,30780,2913,44005,1294044,NA,2018,Travis
Trinity County,County Total,0,2,0,16,52,92,23,185,11860,NA,2018,Trinity
Tyler County,County Total,1,10,5,55,150,81,33,335,21447,NA,2018,Tyler
Upshur County,County Total,4,10,6,95,148,193,30,486,36833,NA,2018,Upshur
Upton County,County Total,0,0,0,1,0,16,2,19,3703,NA,2018,Upton
Uvalde County,County Total,1,11,7,37,144,544,25,769,27156,NA,2018,Uvalde
Val Verde County,County Total,1,14,3,31,199,622,23,893,49099,NA,2018,Val Verde
Van Zandt County,County Total,0,9,3,16,107,207,37,379,53916,NA,2018,Van Zandt
Victoria County,County Total,9,85,51,256,497,1786,132,2816,92593,NA,2018,Victoria
Walker County,County Total,1,39,19,145,181,631,71,1087,72631,NA,2018,Walker
Waller County,County Total,1,54,21,129,175,566,41,987,51297,NA,2018,Waller
Ward County,County Total,1,4,1,34,70,175,9,294,11572,NA,2018,Ward
Washington County,County Total,0,28,15,63,78,351,28,563,35139,NA,2018,Washington
Webb County,County Total,10,156,145,658,795,5697,169,7630,272783,NA,2018,Webb
Wharton County,County Total,3,17,8,111,163,527,39,868,41950,NA,2018,Wharton
Wheeler County,County Total,0,0,0,0,11,24,6,41,5340,NA,2018,Wheeler
Wichita County,County Total,6,95,140,230,742,2722,296,4231,131660,NA,2018,Wichita
Wilbarger County,County Total,0,5,3,39,73,204,10,334,12625,NA,2018,Wilbarger
Willacy County,County Total,2,13,10,160,173,379,18,755,21433,NA,2018,Willacy
Williamson County,County Total,5,190,79,375,960,5474,270,7353,524366,NA,2018,Williamson
Wilson County,County Total,2,3,4,25,109,168,17,328,50118,NA,2018,Wilson
Winkler County,County Total,0,6,1,31,29,71,17,155,7627,NA,2018,Winkler
Wise County,County Total,4,24,6,107,129,368,53,691,67071,NA,2018,Wise
Wood County,County Total,0,36,0,64,89,246,32,467,45237,NA,2018,Wood
Yoakum County,County Total,0,5,0,2,16,40,9,72,8653,NA,2018,Yoakum
Young County,County Total,0,12,4,19,48,102,11,196,17853,NA,2018,Young
Zapata County,County Total,0,1,1,5,91,102,9,209,14316,NA,2018,Zapata
Zavala County,County Total,0,5,2,8,54,41,2,112,11947,NA,2018,Zavala
Anderson County,County Total,2,23,14,100,249,514,82,984,57657,NA,2019,Anderson
Andrews County,County Total,0,14,3,68,69,190,23,367,18473,NA,2019,Andrews
Angelina County,County Total,2,56,40,199,505,1590,183,2575,86568,NA,2019,Angelina
Aransas County,County Total,0,25,12,110,282,728,65,1222,31112,NA,2019,Aransas
Archer County,County Total,0,3,0,3,2,0,0,8,1732,NA,2019,Archer
Armstrong County,County Total,0,0,0,1,10,5,3,19,1879,NA,2019,Armstrong
Atascosa County,County Total,2,9,12,68,221,675,125,1112,51329,NA,2019,Atascosa
Austin County,County Total,0,5,3,38,80,147,29,302,30009,NA,2019,Austin
Bailey County,County Total,0,1,0,6,20,35,2,64,6968,NA,2019,Bailey
Bandera County,County Total,0,2,1,16,95,143,27,284,22980,NA,2019,Bandera
Bastrop County,County Total,6,57,30,179,271,794,137,1474,89191,NA,2019,Bastrop
Baylor County,County Total,0,1,0,4,6,18,4,33,3545,NA,2019,Baylor
Bee County,County Total,2,4,5,40,164,338,20,573,32474,NA,2019,Bee
Bell County,County Total,19,240,193,570,1383,4954,618,7977,357960,NA,2019,Bell
Bexar County,County Total,122,1821,2122,8138,9706,58699,8624,89232,2010637,NA,2019,Bexar
Blanco County,County Total,0,6,1,12,23,25,12,79,11786,NA,2019,Blanco
Borden County,County Total,0,1,0,0,5,4,1,11,645,NA,2019,Borden
Bosque County,County Total,0,3,0,24,46,42,11,126,17136,NA,2019,Bosque
Bowie County,County Total,4,66,48,294,501,1810,130,2853,93943,NA,2019,Bowie
Brazoria County,County Total,10,123,133,400,1002,4759,472,6899,381928,NA,2019,Brazoria
Brazos County,County Total,5,177,107,373,841,3502,355,5360,229532,NA,2019,Brazos
Brewster County,County Total,1,2,0,16,31,15,6,71,9210,NA,2019,Brewster
Briscoe County,County Total,0,0,0,0,3,1,1,5,1493,NA,2019,Briscoe
Brooks County,County Total,0,0,1,15,48,62,1,127,7057,NA,2019,Brooks
Brown County,County Total,1,33,7,87,191,649,59,1027,37667,NA,2019,Brown
Burleson County,County Total,1,7,3,16,44,97,4,172,18422,NA,2019,Burleson
Burnet County,County Total,0,31,8,85,164,400,57,745,49857,NA,2019,Burnet
Caldwell County,County Total,0,13,3,61,67,260,23,427,41896,NA,2019,Caldwell
Calhoun County,County Total,0,16,3,54,80,175,14,342,19260,NA,2019,Calhoun
Callahan County,County Total,0,1,0,8,58,55,14,136,13968,NA,2019,Callahan
Cameron County,County Total,4,239,238,1119,1681,8697,359,12337,423309,NA,2019,Cameron
Camp County,County Total,0,6,1,22,38,82,12,161,13033,NA,2019,Camp
Carson County,County Total,1,2,3,23,21,23,6,79,5948,NA,2019,Carson
Cass County,County Total,1,19,6,70,110,281,27,514,29496,NA,2019,Cass
Castro County,County Total,0,4,0,25,24,39,10,102,7562,NA,2019,Castro
Chambers County,County Total,1,13,9,67,145,529,105,869,38973,NA,2019,Chambers
Cherokee County,County Total,3,11,6,95,241,461,88,905,52337,NA,2019,Cherokee
Childress County,County Total,0,1,0,4,14,25,4,48,7273,NA,2019,Childress
Clay County,County Total,0,8,0,8,33,49,21,119,10356,NA,2019,Clay
Cochran County,County Total,0,0,0,3,12,15,0,30,2782,NA,2019,Cochran
Coke County,County Total,0,0,0,2,10,0,4,16,3356,NA,2019,Coke
Coleman County,County Total,1,6,0,20,22,15,2,66,5373,NA,2019,Coleman
Collin County,County Total,7,297,244,635,1457,9730,881,13251,1016192,NA,2019,Collin
Colorado County,County Total,1,11,3,25,55,156,20,271,21127,NA,2019,Colorado
Comal County,County Total,2,61,34,264,407,1281,172,2221,166905,NA,2019,Comal
Comanche County,County Total,2,2,1,13,43,143,15,219,13398,NA,2019,Comanche
Concho County,County Total,0,0,0,11,8,0,0,19,4272,NA,2019,Concho
Cooke County,County Total,3,20,8,89,97,352,23,592,39747,NA,2019,Cooke
Coryell County,County Total,0,30,7,127,185,737,27,1113,74917,NA,2019,Coryell
Crane County,County Total,0,3,0,4,7,7,6,27,4820,NA,2019,Crane
Crockett County,County Total,0,0,1,1,9,5,4,20,3453,NA,2019,Crockett
Crosby County,County Total,0,1,1,3,29,13,4,51,4553,NA,2019,Crosby
Culberson County,County Total,0,0,0,0,0,0,0,0,2166,NA,2019,Culberson
Dallam County,County Total,0,5,0,28,54,104,19,210,9878,NA,2019,Dallam
Dallas County,County Total,250,1261,5911,8436,13530,53921,15985,99294,2943177,NA,2019,Dallas
Dawson County,County Total,2,7,12,55,136,296,30,538,12284,NA,2019,Dawson
Deaf Smith County,County Total,0,2,5,82,85,249,36,459,18557,NA,2019,Deaf Smith
Delta County,County Total,0,0,0,1,10,16,1,28,5329,NA,2019,Delta
Denton County,County Total,10,404,185,488,1114,6740,734,9675,675245,NA,2019,Denton
DeWitt County,County Total,1,13,0,58,74,215,16,377,15907,NA,2019,DeWitt
Dickens County,County Total,0,0,0,1,5,1,2,9,2212,NA,2019,Dickens
Dimmit County,County Total,1,2,0,8,39,93,7,150,10280,NA,2019,Dimmit
Donley County,County Total,2,0,0,2,12,16,2,34,3250,NA,2019,Donley
Duval County,County Total,0,4,0,19,30,53,42,148,11988,NA,2019,Duval
Eastland County,County Total,3,15,1,18,65,89,14,205,17345,NA,2019,Eastland
Ector County,County Total,17,155,149,1153,715,3689,866,6744,166736,NA,2019,Ector
Edwards County,County Total,0,1,0,1,1,2,2,7,1908,NA,2019,Edwards
Ellis County,County Total,3,38,39,132,379,1672,174,2437,173487,NA,2019,Ellis
El Paso County,County Total,41,390,363,2052,1306,9750,1018,14920,840222,NA,2019,El Paso
Erath County,County Total,2,32,9,59,131,405,23,661,42779,NA,2019,Erath
Falls County,County Total,0,4,10,24,47,49,15,149,15069,NA,2019,Falls
Fannin County,County Total,2,18,2,42,84,262,41,451,32485,NA,2019,Fannin
Fayette County,County Total,0,18,1,36,71,185,14,325,25289,NA,2019,Fayette
Fisher County,County Total,0,0,0,0,9,5,0,14,3799,NA,2019,Fisher
Floyd County,County Total,0,2,1,26,16,41,3,89,5735,NA,2019,Floyd
Foard County,County Total,0,0,0,0,1,2,0,3,338,NA,2019,Foard
Fort Bend County,County Total,15,224,231,1005,1252,7180,569,10476,772362,NA,2019,Fort Bend
Franklin County,County Total,0,1,-1,5,10,15,2,32,10020,NA,2019,Franklin
Freestone County,County Total,1,7,3,38,91,138,18,296,19684,NA,2019,Freestone
Frio County,County Total,0,0,1,24,94,123,25,267,20035,NA,2019,Frio
Gaines County,County Total,2,5,2,29,56,127,19,240,21224,NA,2019,Gaines
Galveston County,County Total,16,255,200,444,1016,5270,754,7955,347631,NA,2019,Galveston
Garza County,County Total,0,5,0,10,17,11,2,45,6551,NA,2019,Garza
Gillespie County,County Total,1,3,1,20,17,163,6,211,26884,NA,2019,Gillespie
Glasscock County,County Total,0,0,0,1,5,16,5,27,1400,NA,2019,Glasscock
Goliad County,County Total,1,3,2,16,19,49,11,101,7583,NA,2019,Goliad
Gonzales County,County Total,1,18,1,92,57,217,22,408,20835,NA,2019,Gonzales
Gray County,County Total,0,18,8,115,166,519,33,859,21690,NA,2019,Gray
Grayson County,County Total,5,70,40,223,492,1448,214,2492,132673,NA,2019,Grayson
Gregg County,County Total,9,95,77,337,638,2453,293,3902,131168,NA,2019,Gregg
