date,count,day
2023-03-09T00:00:00Z,712,Thursday
2023-03-08T00:00:00Z,770,Wednesday
2023-03-07T00:00:00Z,657,Tuesday
2023-03-06T00:00:00Z,695,Monday
2023-03-05T00:00:00Z,659,Sunday
2023-03-04T00:00:00Z,687,Saturday
2023-03-03T00:00:00Z,688,Friday
2023-03-02T00:00:00Z,622,Thursday
2023-03-01T00:00:00Z,788,Wednesday
2023-02-28T00:00:00Z,704,Tuesday
2023-02-27T00:00:00Z,668,Monday
2023-02-26T00:00:00Z,656,Sunday
2023-02-25T00:00:00Z,673,Saturday
2023-02-24T00:00:00Z,686,Friday
2023-02-23T00:00:00Z,718,Thursday
2023-02-22T00:00:00Z,704,Wednesday
2023-02-21T00:00:00Z,680,Tuesday
2023-02-20T00:00:00Z,653,Monday
2023-02-19T00:00:00Z,692,Sunday
2023-02-18T00:00:00Z,686,Saturday
2023-02-17T00:00:00Z,743,Friday
2023-02-16T00:00:00Z,724,Thursday
2023-02-15T00:00:00Z,751,Wednesday
2023-02-14T00:00:00Z,645,Tuesday
2023-02-13T00:00:00Z,698,Monday
2023-02-12T00:00:00Z,673,Sunday
2023-02-11T00:00:00Z,693,Saturday
2023-02-10T00:00:00Z,705,Friday
2023-02-09T00:00:00Z,684,Thursday
2023-02-08T00:00:00Z,743,Wednesday
2023-02-07T00:00:00Z,710,Tuesday
2023-02-06T00:00:00Z,727,Monday
2023-02-05T00:00:00Z,660,Sunday
2023-02-04T00:00:00Z,695,Saturday
2023-02-03T00:00:00Z,660,Friday
2023-02-02T00:00:00Z,674,Thursday
2023-02-01T00:00:00Z,741,Wednesday
2023-01-31T00:00:00Z,630,Tuesday
2023-01-30T00:00:00Z,643,Monday
2023-01-29T00:00:00Z,748,Sunday
2023-01-28T00:00:00Z,709,Saturday
2023-01-27T00:00:00Z,796,Friday
2023-01-26T00:00:00Z,660,Thursday
2023-01-25T00:00:00Z,658,Wednesday
2023-01-24T00:00:00Z,597,Tuesday
2023-01-23T00:00:00Z,651,Monday
2023-01-22T00:00:00Z,684,Sunday
2023-01-21T00:00:00Z,665,Saturday
2023-01-20T00:00:00Z,781,Friday
2023-01-19T00:00:00Z,722,Thursday
2023-01-18T00:00:00Z,689,Wednesday
2023-01-17T00:00:00Z,764,Tuesday
2023-01-16T00:00:00Z,604,Monday
2023-01-15T00:00:00Z,668,Sunday
2023-01-14T00:00:00Z,658,Saturday
2023-01-13T00:00:00Z,680,Friday
2023-01-12T00:00:00Z,688,Thursday
2023-01-11T00:00:00Z,669,Wednesday
2023-01-10T00:00:00Z,692,Tuesday
2023-01-09T00:00:00Z,664,Monday
2023-01-08T00:00:00Z,684,Sunday
2023-01-07T00:00:00Z,693,Saturday
2023-01-06T00:00:00Z,753,Friday
2023-01-05T00:00:00Z,696,Thursday
2023-01-04T00:00:00Z,690,Wednesday
2023-01-03T00:00:00Z,724,Tuesday
2023-01-02T00:00:00Z,609,Monday
2023-01-01T00:00:00Z,778,Sunday
2022-12-31T00:00:00Z,336,Saturday
2022-12-30T00:00:00Z,410,Friday
2022-12-29T00:00:00Z,476,Thursday
2022-12-28T00:00:00Z,456,Wednesday
2022-12-27T00:00:00Z,440,Tuesday
