Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-03-27T00:00:00Z,10,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,ISABELLA,-,-,1
2015-03-20T00:00:00Z,16,Theft,10H40,Strip Business Center Parking Lot,1000-1099,BERRY,ST,-,1
2015-03-24T00:00:00Z,04,Robbery,10H40,Service or Gas Station,2100-2199,MAIN,ST,-,1
2015-03-23T00:00:00Z,04,Burglary,10H40,Construction Site,3500-3599,MAIN,ST,-,1
2015-03-23T00:00:00Z,10,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2015-03-18T00:00:00Z,07,Theft,10H40,Social Services or Public Charities,2900-2999,CRAWFORD,ST,-,1
2015-03-24T00:00:00Z,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-30T00:00:00Z,16,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,FANNIN,ST,-,1
2015-03-17T00:00:00Z,08,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,CHENEVERT,-,-,1
2015-03-20T00:00:00Z,23,Theft,10H40,Other Parking Lot,3500-3599,MAIN,ST,-,1
2015-03-23T00:00:00Z,22,Auto Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,1
2015-03-01T00:00:00Z,03,Auto Theft,10H40,Residence or House,4400-4499,FANNIN,ST,-,1
2015-03-07T00:00:00Z,17,Theft,10H40,Restaurant or Cafeteria,1100-1199,HOLMAN,-,-,1
2015-03-13T00:00:00Z,09,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,2
2015-03-14T00:00:00Z,19,Theft,10H40,Miscellaneous Business (Non-Specific),2100-2199,SAN JACINTO,-,-,1
2015-03-14T00:00:00Z,21,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,MILAM,-,-,1
2015-03-15T00:00:00Z,03,Burglary,10H40,Bus Station,2200-2299,MAIN,ST,-,1
2015-03-02T00:00:00Z,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-03T00:00:00Z,00,Aggravated Assault,10H40,Residence or House,1700-1799,HOLMAN,-,-,1
2014-01-01T00:00:00Z,09,Theft,10H40,,2200-2299,CHENEVERT,-,-,1
2015-02-01T00:00:00Z,11,Theft,10H40,Apartment,4500-4599,TRAVIS,-,-,1
2015-03-01T00:00:00Z,07,Theft,10H40,Apartment Parking Lot,3500-3599,CHENEVERT,-,-,1
2015-03-05T00:00:00Z,10,Theft,10H40,"Road, Street, or Sidewalk",3600-3699,FANNIN,ST,-,1
2015-03-06T00:00:00Z,11,Aggravated Assault,10H40,,1000-1099,ELGIN,ST,-,1
2015-03-06T00:00:00Z,16,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2015-03-09T00:00:00Z,17,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,ANITA,ST,-,1
2015-03-10T00:00:00Z,19,Theft,10H40,Strip Business Center Parking Lot,4200-4299,CAROLINE,ST,-,1
2015-03-12T00:00:00Z,20,Theft,10H40,Restaurant or Cafeteria Parking Lot,3000-3099,MILAM,-,-,1
2015-03-17T00:00:00Z,00,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1100-1199,HOLMAN,-,-,1
2015-03-13T00:00:00Z,10,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-20T00:00:00Z,02,Robbery,10H40,"Road, Street, or Sidewalk",3000-3099,MILAM,-,-,1
2015-03-21T00:00:00Z,11,Theft,10H40,Sexually Oriented Business Parking Lot,1100-1199,MCGOWEN,ST,-,1
2015-03-22T00:00:00Z,10,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-30T00:00:00Z,19,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-27T00:00:00Z,01,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,SAN JACINTO,-,-,1
2015-03-06T00:00:00Z,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-06T00:00:00Z,01,Theft,10H40,"Road, Street, or Sidewalk",900-999,BERRY,ST,-,1
2015-01-20T00:00:00Z,18,Murder,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-03-01T00:00:00Z,11,Auto Theft,10H40,"Road, Street, or Sidewalk",2700-2799,MILAM,-,-,1
2015-03-01T00:00:00Z,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-01T00:00:00Z,17,Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2015-03-11T00:00:00Z,12,Theft,10H40,Driveway,3400-3499,AUSTIN,ST,-,1
2015-03-10T00:00:00Z,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-24T00:00:00Z,13,Theft,10H40,Residence or House,2400-2499,MAIN,ST,-,1
