Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
05/23/2017,03,Theft,10H30,Commercial Parking Lot or Garage,7800-7899,DETROIT 11,-,-,1
05/23/2017,17,Theft,10H30,Other Parking Lot,21200-21299,ARCADIA PARK,LN,-,1
05/23/2017,19,AutoTheft,10H30,Miscellaneous Business (Non-Specific),2100-2199,LAMAR,-,-,1
05/24/2017,09,Aggravated Assault,10H30,"Road, Street, or Sidewalk",12200-12299,COPPERTREE,LN,-,1
05/24/2017,09,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,CAPITOL ST,ST,-,1
05/24/2017,10,Theft,10H30,Garage or Carport,2000-2099,TEXAS ST,ST,-,1
05/24/2017,20,Theft,10H30,Commercial Parking Lot or Garage,600-699,SAINT EMANUEL ST,ST,-,1
05/25/2017,07,Theft,10H30,Garage or Carport,2100-2199,TEXAS ST,ST,-,1
05/26/2017,10,Theft,10H30,Miscellaneous Business (Non-Specific),2400-2499,DALLAS,ST,-,1
05/26/2017,01,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,LIVE OAK STREET,-,-,1
05/27/2017,14,Theft,10H30,Commercial Parking Lot or Garage,1500-1599,SAINT EMANUEL ST,ST,-,1
05/27/2017,16,Theft,10H30,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL ST,ST,-,1
05/27/2017,12,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,POLK,-,-,1
05/28/2017,18,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS ST,ST,-,1
05/28/2017,00,AutoTheft,10H30,"Road, Street, or Sidewalk",2200-2299,BELL ST,ST,-,1
05/28/2017,02,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,PO BOX 106169,-,-,1
05/28/2017,05,Burglary,10H30,Commercial Parking Lot or Garage,3600-3699,GULF,FWY,-,1
05/28/2017,09,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,LEELAND,-,-,1
05/31/2017,20,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,NAGLE,-,-,1
05/31/2017,21,Theft,10H30,Other Parking Lot,1100-1199,DOWLING,ST,-,1
05/31/2017,19,Theft,10H30,"Road, Street, or Sidewalk",400-499,ENCHANTED HILLTOP,WAY,-,1
05/31/2017,16,Theft,10H30,Apartment,10900-10999,AEROSPACE,AVE,-,1
05/31/2017,17,Theft,10H30,Apartment Parking Lot,1300-1399,LIVE OAK,-,-,1
05/31/2017,10,Aggravated Assault,10H30,Service or Gas Station,2000-2099,HOMELESS,-,-,1
05/01/2017,11,Theft,10H40,Other Parking Lot,2400-2499,PO BOX 20089,-,-,1
05/01/2017,19,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST,-,1
05/02/2017,08,Theft,10H40,Light Rail Platform,4500-4599,MAIN ST,ST,-,1
05/02/2017,11,AutoTheft,10H40,Driveway,3500-3599,JACKSON ST,ST,-,1
05/02/2017,13,Theft,10H40,Other Parking Lot,2500-2599,TRAVIS,-,-,1
05/02/2017,14,Theft,10H40,"Road, Street, or Sidewalk",8900-8999,MCCLURE,-,-,1
05/02/2017,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST,-,1
05/03/2017,19,Theft,10H40,Miscellaneous Business (Non-Specific),8300-8399,WINDNESBURY,LN,-,1
05/03/2017,20,Theft,10H40,Residence or House,3300-3399,LA BRANCH,-,-,1
05/03/2017,17,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST,-,1
05/03/2017,13,Theft,10H40,"Road, Street, or Sidewalk",2500-2599,CHENEVERT,-,-,1
05/03/2017,10,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,HADLEY ST,ST,-,1
05/04/2017,00,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,MCGOWEN ST,ST,-,1
05/04/2017,00,Robbery,10H40,"Road, Street, or Sidewalk",500-599,THORNTON,RD,-,1
05/04/2017,15,Theft,10H40,Residence or House,3300-3399,CRAWFORD ST,ST,-,1
05/05/2017,10,Aggravated Assault,10H40,"Road, Street, or Sidewalk",2600-2699,CAROLINE ST,ST,-,1
05/05/2017,13,AutoTheft,10H40,"Road, Street, or Sidewalk",1100-1199,MCGOWEN ST,ST,-,1
05/05/2017,09,Theft,10H40,"Road, Street, or Sidewalk",3400-3499,FANNIN ST,ST,-,1
05/05/2017,14,Theft,10H40,Bar or Night Club,2600-2699,TRAVIS,-,-,1
05/05/2017,14,Theft,10H40,"Road, Street, or Sidewalk",2500-2599,FANNIN ST,ST,-,1
05/05/2017,14,Theft,10H40,"Road, Street, or Sidewalk",7000-7099,ALLENSBY,ST,-,1
05/05/2017,20,Theft,10H40,Apartment,4600-4699,MAIN ST,ST,-,1
05/05/2017,22,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1900-1999,ELGIN ST,ST,-,2
05/06/2017,00,Theft,10H40,"Road, Street, or Sidewalk",3100-3199,MILAM,-,-,1
05/06/2017,11,Theft,10H40,"Road, Street, or Sidewalk",2900-2999,TRAVIS ST,ST,-,1
05/06/2017,14,AutoTheft,10H40,"Road, Street, or Sidewalk",900-999,MCGOWEN ST,ST,-,1
05/06/2017,18,AutoTheft,10H40,"Road, Street, or Sidewalk",700-799,SILLIMAN,-,-,1
05/07/2017,01,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,HADLEY ST,ST,-,1
05/07/2017,12,AutoTheft,10H40,Bar or Night Club Parking Lot,3000-3099,CAROLINE ST,ST,-,1
05/07/2017,23,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,WEBSTER ST,ST,-,1
05/07/2017,22,Robbery,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN ST IB,-,-,1
05/07/2017,16,Aggravated Assault,10H40,Freeway Service Road,1600-1699,CLEBURNE ST,ST,-,1
05/07/2017,14,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST,-,1
05/08/2017,09,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,ANITA,-,-,1
05/08/2017,07,Aggravated Assault,10H40,"Road, Street, or Sidewalk",700-799,MCGOWEN ST,ST,-,1
05/08/2017,12,Theft,10H40,"Road, Street, or Sidewalk",3000-3099,CHENEVERT,-,-,1
05/08/2017,13,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,FANNIN ST,ST,-,1
05/08/2017,10,Theft,10H40,Bar or Night Club,1700-1799,BREMOND ST,ST,-,1
05/08/2017,11,AutoTheft,10H40,"Road, Street, or Sidewalk",2400-2499,LITTLE YORK,RD,-,1
05/08/2017,22,Theft,10H40,"Road, Street, or Sidewalk",900-999,WINBERN,-,-,1
05/09/2017,02,Robbery,10H40,Bus Station,3300-3399,BREMOND,ST,-,1
