beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
10H30,10,1.02691154,Near East End,4160,Violent,171,158,173,52,167,502,167.3,1.2,-2.3,-3.5,-0,4110.6,3798.1,4158.7,4014.4,4021.6
10H40,10,0.99627062,Midtown,8194,Violent,751,638,567,192,575,1956,652,-24.5,-23.4,1.4,-12,9165.2,7786.2,6919.7,7017.3,7957
10H50,10,2.30843079,the University of Houston area,12867,Violent,753,691,609,205,600,2053,684.3,-19.1,-20.3,-1.5,-12,5852.2,5370.3,4733,4663.1,5318.3
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20363,Violent,544,520,496,172,524,1560,520,-8.8,-3.7,5.6,1,2671.5,2553.7,2435.8,2573.3,2553.7
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",15650,Violent,421,435,458,136,453,1314,438,8.8,7.6,-1.1,3,2690.1,2779.6,2926.5,2894.6,2798.7
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",18584,Violent,120,97,98,31,106,315,105,-18.3,-11.7,8.2,1,645.7,522,527.3,570.4,565
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",27726,Violent,832,957,776,230,760,2565,855,-6.7,-8.7,-2.1,-11,3000.8,3451.6,2798.8,2741.1,3083.7
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18100,Violent,430,416,432,106,391,1278,426,0.5,-9.1,-9.5,-8,2375.7,2298.3,2386.7,2160.2,2353.6
11H30,11,2.84278059,Meadow Brook and Park Place,15237,Violent,404,481,409,148,435,1294,431.3,1.2,7.7,6.4,1,2651.4,3156.8,2684.3,2854.9,2830.6
11H40,11,6.14001938,Allendale and Oak Meadows,8423,Violent,107,142,119,30,99,368,122.7,11.2,-7.5,-16.8,-19,1270.3,1685.9,1412.8,1175.4,1456.7
