beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
17E30,17,3.8060455,Braeburn Valley West and Glenshire,20973,Assault,658,810,626,88,614,2094,698,-4.9,-6.7,-1.9,-12,3137.4,3862.1,2984.8,2927.6,3328.1
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",43178,Assault,1575,1745,1660,229,1643,4980,1660,5.4,4.3,-1,-1,3647.7,4041.4,3844.6,3805.2,3844.6
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7397,Assault,84,75,97,18,96,256,85.3,15.5,14.3,-1,13,1135.6,1013.9,1311.3,1297.8,1153.2
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",22499,Assault,516,463,550,100,573,1529,509.7,6.6,11,4.2,12,2293.4,2057.9,2444.6,2546.8,2265.4
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36371,Assault,785,952,913,144,904,2650,883.3,16.3,15.2,-1,2,2158.3,2617.5,2510.2,2485.5,2428.6
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35362,Assault,975,1137,1176,227,1210,3288,1096,20.6,24.1,2.9,10,2757.2,3215.3,3325.6,3421.8,3099.4
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20726,Assault,687,770,895,137,893,2352,784,30.3,30,-0.2,14,3314.7,3715.1,4318.2,4308.6,3782.7
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,26132,Assault,510,646,637,81,614,1793,597.7,24.9,20.4,-3.6,3,1951.6,2472.1,2437.6,2349.6,2287.2
19G10,19,2.74020376,Concourse South and Westwood Mall,31267,Assault,1223,1299,1308,228,1348,3830,1276.7,7,10.2,3.1,6,3911.5,4154.5,4183.3,4311.3,4083.2
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",24529,Assault,491,491,496,59,478,1478,492.7,1,-2.6,-3.6,-3,2001.7,2001.7,2022.1,1948.7,2008.6
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",24600,Assault,343,344,363,49,348,1050,350,5.8,1.5,-4.1,-1,1394.3,1398.4,1475.6,1414.6,1422.8
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",36255,Assault,812,904,916,137,902,2632,877.3,12.8,11.1,-1.5,3,2239.7,2493.4,2526.5,2487.9,2419.8
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18276,Assault,688,679,744,79,724,2111,703.7,8.1,5.2,-2.7,3,3764.5,3715.3,4070.9,3961.5,3850.4
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",30032,Assault,758,974,941,139,947,2673,891,24.1,24.9,0.6,6,2524,3243.2,3133.3,3153.3,2966.8
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18393,Assault,301,346,358,43,341,1005,335,18.9,13.3,-4.7,2,1636.5,1881.2,1946.4,1854,1821.3
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",25659,Assault,862,979,970,160,970,2811,937,12.5,12.5,0,4,3359.4,3815.4,3780.3,3780.3,3651.7
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28917,Assault,616,623,753,113,755,1992,664,22.2,22.6,0.3,14,2130.2,2154.4,2604,2610.9,2296.2
20G70,20,2.38283582,Westpark Village and Ashford Point,17627,Assault,505,619,611,70,596,1735,578.3,21,18,-2.5,3,2864.9,3511.7,3466.3,3381.2,3280.8
20G80,20,25.33626534,City Limits,43831,Assault,525,657,749,126,765,1931,643.7,42.7,45.7,2.1,19,1197.8,1498.9,1708.8,1745.3,1468.6
21I10,21,0.00549966,Hobby Airport,0,Assault,30,25,34,5,35,89,29.7,13.3,16.7,2.9,18,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Assault,1,0,0,0,0,1,0.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
21I40,21,0.00923163,Hobby Airport,0,Assault,6,2,3,2,5,11,3.7,-50,-16.7,66.7,35,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Assault,95,76,83,16,96,254,84.7,-12.6,1.1,15.7,13,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",9438,Assault,382,432,522,76,517,1336,445.3,36.6,35.3,-1,16,4047.5,4577.2,5530.8,5477.9,4718.2
5F20,5,5.94082911,Spring Branch and Schwartz Park,40672,Assault,760,896,936,124,924,2592,864,23.2,21.6,-1.3,7,1868.6,2203,2301.3,2271.8,2124.3
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",22753,Assault,439,468,471,76,480,1378,459.3,7.3,9.3,1.9,5,1929.4,2056.9,2070.1,2109.6,2018.6
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",29121,Assault,212,262,262,39,253,736,245.3,23.6,19.3,-3.4,3,728,899.7,899.7,868.8,842.3
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28026,Assault,454,429,465,78,479,1348,449.3,2.4,5.5,3,7,1619.9,1530.7,1659.2,1709.1,1603.2
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",19674,Assault,290,382,421,51,399,1093,364.3,45.2,37.6,-5.2,10,1474,1941.6,2139.9,2028.1,1851.7
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",22447,Assault,312,378,413,46,391,1103,367.7,32.4,25.3,-5.3,6,1389.9,1684,1839.9,1741.9,1638.1
