date,offense_type,count,day,,
7/26/20,"Murder, non-negligent",1,Sunday,1,
7/25/20,"Murder, non-negligent",2,Saturday,7,
7/18/20,"Murder, non-negligent",1,Saturday,13,
7/5/20,"Murder, non-negligent",1,Sunday,1,
7/4/20,"Murder, non-negligent",1,Saturday,6,
6/28/20,"Murder, non-negligent",1,Sunday,1,
6/27/20,"Murder, non-negligent",3,Saturday,6,
6/21/20,"Murder, non-negligent",1,Sunday,1,
6/20/20,"Murder, non-negligent",1,Saturday,6,
6/14/20,"Murder, non-negligent",1,Sunday,7,
6/7/20,"Murder, non-negligent",1,Sunday,7,
5/31/20,"Murder, non-negligent",1,Sunday,1,
5/30/20,"Murder, non-negligent",3,Saturday,6,
5/24/20,"Murder, non-negligent",1,Sunday,1,
5/23/20,"Murder, non-negligent",1,Saturday,6,
5/17/20,"Murder, non-negligent",1,Sunday,1,
5/16/20,"Murder, non-negligent",1,Saturday,6,
5/10/20,"Murder, non-negligent",1,Sunday,14,
4/26/20,"Murder, non-negligent",1,Sunday,7,
4/19/20,"Murder, non-negligent",2,Sunday,1,
4/18/20,"Murder, non-negligent",1,Saturday,6,
4/12/20,"Murder, non-negligent",2,Sunday,7,
4/5/20,"Murder, non-negligent",1,Sunday,7,
3/29/20,"Murder, non-negligent",2,Sunday,1,
3/28/20,"Murder, non-negligent",1,Saturday,6,
3/22/20,"Murder, non-negligent",2,Sunday,7,
3/15/20,"Murder, non-negligent",1,Sunday,1,
3/14/20,"Murder, non-negligent",3,Saturday,6,
3/8/20,"Murder, non-negligent",1,Sunday,1,
3/7/20,"Murder, non-negligent",1,Saturday,6,
3/1/20,"Murder, non-negligent",4,Sunday,1,
2/29/20,"Murder, non-negligent",1,Saturday,6,
2/23/20,"Murder, non-negligent",1,Sunday,1,
2/22/20,"Murder, non-negligent",1,Saturday,6,
2/16/20,"Murder, non-negligent",1,Sunday,1,
2/15/20,"Murder, non-negligent",1,Saturday,6,
2/9/20,"Murder, non-negligent",3,Sunday,1,
2/8/20,"Murder, non-negligent",1,Saturday,6,
2/2/20,"Murder, non-negligent",1,Sunday,1,
2/1/20,"Murder, non-negligent",2,Saturday,7,
1/25/20,"Murder, non-negligent",2,Saturday,6,
1/19/20,"Murder, non-negligent",1,Sunday,1,
1/18/20,"Murder, non-negligent",2,Saturday,6,
1/12/20,"Murder, non-negligent",1,Sunday,1,
1/11/20,"Murder, non-negligent",2,Saturday,7,
1/4/20,"Murder, non-negligent",2,Saturday,6,
12/29/19,"Murder, non-negligent",3,Sunday,1,
12/28/19,"Murder, non-negligent",1,Saturday,13,
12/15/19,"Murder, non-negligent",1,Sunday,1,
12/14/19,"Murder, non-negligent",1,Saturday,7,
12/7/19,"Murder, non-negligent",1,Saturday,7,
11/30/19,"Murder, non-negligent",3,Saturday,7,
11/23/19,"Murder, non-negligent",1,Saturday,6,
11/17/19,"Murder, non-negligent",1,Sunday,14,
11/3/19,"Murder, non-negligent",3,Sunday,1,
11/2/19,"Murder, non-negligent",1,Saturday,6,
10/27/19,"Murder, non-negligent",2,Sunday,1,
10/26/19,"Murder, non-negligent",1,Saturday,7,
10/19/19,"Murder, non-negligent",2,Saturday,7,
10/12/19,"Murder, non-negligent",1,Saturday,6,
10/6/19,"Murder, non-negligent",4,Sunday,1,
10/5/19,"Murder, non-negligent",3,Saturday,6,
9/29/19,"Murder, non-negligent",1,Sunday,8,
9/21/19,"Murder, non-negligent",1,Saturday,6,
9/15/19,"Murder, non-negligent",1,Sunday,1,
9/14/19,"Murder, non-negligent",1,Saturday,6,
9/8/19,"Murder, non-negligent",1,Sunday,1,
9/7/19,"Murder, non-negligent",1,Saturday,6,
9/1/19,"Murder, non-negligent",1,Sunday,7,
8/25/19,"Murder, non-negligent",3,Sunday,1,
8/24/19,"Murder, non-negligent",1,Saturday,6,
8/18/19,"Murder, non-negligent",1,Sunday,14,
8/4/19,"Murder, non-negligent",5,Sunday,1,
8/3/19,"Murder, non-negligent",5,Saturday,6,
7/28/19,"Murder, non-negligent",3,Sunday,15,
7/13/19,"Murder, non-negligent",2,Saturday,7,
7/6/19,"Murder, non-negligent",1,Saturday,6,
6/30/19,"Murder, non-negligent",3,Sunday,1,
6/29/19,"Murder, non-negligent",1,Saturday,6,
6/23/19,"Murder, non-negligent",1,Sunday,1,
6/22/19,"Murder, non-negligent",1,Saturday,6,
6/16/19,"Murder, non-negligent",2,Sunday,1,
6/15/19,"Murder, non-negligent",1,Saturday,6,
6/9/19,"Murder, non-negligent",1,Sunday,1,
6/8/19,"Murder, non-negligent",1,Saturday,6,
6/2/19,"Murder, non-negligent",1,Sunday,1,
6/1/19,"Murder, non-negligent",1,Saturday,7,
5/25/19,"Murder, non-negligent",2,Saturday,7,
5/18/19,"Murder, non-negligent",2,Saturday,13,
5/5/19,"Murder, non-negligent",1,Sunday,1,
5/4/19,"Murder, non-negligent",1,Saturday,6,
4/28/19,"Murder, non-negligent",1,Sunday,7,
4/21/19,"Murder, non-negligent",1,Sunday,8,
4/13/19,"Murder, non-negligent",1,Saturday,6,
4/7/19,"Murder, non-negligent",1,Sunday,1,
4/6/19,"Murder, non-negligent",1,Saturday,13,
3/24/19,"Murder, non-negligent",1,Sunday,1,
3/23/19,"Murder, non-negligent",2,Saturday,7,
3/16/19,"Murder, non-negligent",1,Saturday,7,
3/9/19,"Murder, non-negligent",3,Saturday,7,
3/2/19,"Murder, non-negligent",2,Saturday,7,
2/23/19,"Murder, non-negligent",1,Saturday,6,
2/17/19,"Murder, non-negligent",1,Sunday,1,
2/16/19,"Murder, non-negligent",2,Saturday,13,
2/3/19,"Murder, non-negligent",4,Sunday,15,
1/19/19,"Murder, non-negligent",4,Saturday,6,
1/13/19,"Murder, non-negligent",1,Sunday,1,
1/12/19,"Murder, non-negligent",2,Saturday,6,
1/6/19,"Murder, non-negligent",1,Sunday,1,
1/5/19,"Murder, non-negligent",3,Saturday,43470,
