beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,projected22,last12mos,inc_19to21,inc_19to22sofar,inc_21to22sofar,inc_3yearto22sofar,rate19,rate20,rate21,rate22,rate_last12,rate_multiyear
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8435,Theft,175,195,208,33,204,68185,18.9,16.6,-1.9,6,2074.7,2311.8,2465.9,2418.5,808358,2284.1
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",47725,Theft,1182,1300,1224,234,1448,68185,3.6,22.5,18.3,17,2476.7,2723.9,2564.7,3034,142870.6,2588.4
12D20,12,3.83700574,Sage,23555,Theft,551,540,495,78,483,68185,-10.2,-12.3,-2.4,-9,2339.2,2292.5,2101.5,2050.5,289471.4,2244.4
12D30,12,3.99301158,Gulf Palms and Beamer,15022,Theft,245,245,222,47,291,68185,-9.4,18.8,31.1,23,1630.9,1630.9,1477.8,1937.2,453900.9,1579.9
12D40,12,9.68663455,Scarsdale and Ellington Field,13053,Theft,171,197,170,46,285,68185,-0.6,66.7,67.6,59,1310,1509.2,1302.4,2183.4,522370.3,1373.9
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",23716,Theft,177,136,120,21,130,68185,-32.2,-26.6,8.3,-10,746.3,573.5,506,548.2,287506.3,608.6
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22879,Theft,237,265,234,39,241,68185,-1.3,1.7,3,-2,1035.9,1158.3,1022.8,1053.4,298024.4,1072.3
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,13592,Theft,934,863,901,158,977,68185,-3.5,4.6,8.4,9,6871.7,6349.3,6628.9,7188.1,501655.4,6616.6
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",25256,Theft,572,615,614,95,588,68185,7.3,2.8,-4.2,-2,2264.8,2435.1,2431.1,2328.2,269975.5,2377
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",40432,Theft,937,872,878,151,934,68185,-6.3,-0.3,6.4,4,2317.5,2156.7,2171.5,2310.1,168641.2,2215.2
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2634,Theft,52,71,59,17,105,68185,13.5,101.9,78,73,1974.2,2695.5,2239.9,3986.3,2588648.4,2303.2
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",14219,Theft,253,249,252,46,285,68185,-0.4,12.6,13.1,13,1779.3,1751.2,1772.3,2004.4,479534.4,1767.6
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,15692,Theft,708,543,501,82,507,68185,-29.2,-28.4,1.2,-13,4511.9,3460.4,3192.7,3230.9,434520.8,3721.6
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",27812,Theft,802,731,547,91,563,68185,-31.8,-29.8,2.9,-19,2883.6,2628.4,1966.8,2024.3,245164,2492.9
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",20295,Theft,334,319,268,41,254,68185,-19.8,-24,-5.2,-17,1645.7,1571.8,1320.5,1251.5,335969.5,1512.7
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",20527,Theft,376,358,317,41,254,68185,-15.7,-32.4,-19.9,-27,1831.7,1744,1544.3,1237.4,332172.3,1706.7
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",8920,Theft,186,173,144,28,173,68185,-22.6,-7,20.1,3,2085.2,1939.5,1614.3,1939.5,764405.8,1879.7
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",22514,Theft,654,680,524,90,557,68185,-19.9,-14.8,6.3,-10,2904.9,3020.3,2327.4,2474,302856,2750.9
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18932,Theft,319,439,349,66,408,68185,9.4,27.9,16.9,11,1685,2318.8,1843.4,2155.1,360157.4,1949.1
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",35375,Theft,997,873,763,116,718,68185,-23.5,-28,-5.9,-18,2818.4,2467.8,2156.9,2029.7,192749.1,2481
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",29887,Theft,1639,1402,1560,306,1893,68185,-4.8,15.5,21.3,23,5484,4691,5219.7,6333.9,228142.7,5131.6
16E10,16,5.38940818,Canterbury Village and Monarch Estates,14695,Theft,315,228,209,36,223,68185,-33.7,-29.2,6.7,-11,2143.6,1551.5,1422.3,1517.5,464001.4,1705.8
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35528,Theft,579,453,529,88,544,68185,-8.6,-6,2.8,5,1629.7,1275.1,1489,1531.2,191919,1464.6
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",23719,Theft,449,460,430,70,433,68185,-4.2,-3.6,0.7,-3,1893,1939.4,1812.9,1825.5,287470,1881.8
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",31524,Theft,440,383,427,54,334,68185,-3,-24.1,-21.8,-20,1395.8,1214.9,1354.5,1059.5,216295.5,1321.7
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",55959,Theft,1246,1091,1109,174,1076,68185,-11,-13.6,-3,-6,2226.6,1949.6,1981.8,1922.8,121848.1,2052.7
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27858,Theft,478,529,459,77,476,68185,-4,-0.4,3.7,-3,1715.8,1898.9,1647.6,1708.7,244759.1,1754.1
17E30,17,3.8060455,Braeburn Valley West and Glenshire,20973,Theft,516,704,548,100,619,68185,6.2,20,13,5,2460.3,3356.7,2612.9,2951.4,325108.5,2810
