beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,9582,Other,246,323,376,73,383,945,315,52.8,55.7,1.9,22,2567.3,3370.9,3924,3997.1,3287.4
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,9582,Property,381,345,355,78,389,1081,360.3,-6.8,2.1,9.6,8,3976.2,3600.5,3704.9,4059.7,3760.2
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,9582,Violent,246,225,219,25,216,690,230,-11,-12.2,-1.4,-6,2567.3,2348.2,2285.5,2254.2,2400.3
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",15143,Other,538,758,1019,161,1029,2315,771.7,89.4,91.3,1,33,3552.8,5005.6,6729.2,6795.2,5096.1
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",15143,Property,1063,1098,1464,263,1518,3625,1208.3,37.7,42.8,3.7,26,7019.7,7250.9,9667.8,10024.4,7979.3
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",15143,Violent,373,385,490,66,489,1248,416,31.4,31.1,-0.2,18,2463.2,2542.4,3235.8,3229.2,2747.1
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",11769,Other,846,1077,1315,205,1321,3238,1079.3,55.4,56.1,0.5,22,7188.4,9151.2,11173.4,11224.4,9170.7
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",11769,Property,778,668,597,101,610,2043,681,-23.3,-21.6,2.2,-10,6610.6,5675.9,5072.6,5183.1,5786.4
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",11769,Violent,761,817,711,115,737,2289,763,-6.6,-3.2,3.7,-3,6466.1,6942,6041.3,6262.2,6483.1
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7771,Other,314,476,604,78,581,1394,464.7,92.4,85,-3.8,25,4040.7,6125.3,7772.5,7476.5,5979.9
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7771,Property,265,291,279,43,276,835,278.3,5.3,4.2,-1.1,-1,3410.1,3744.7,3590.3,3551.7,3581.3
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7771,Violent,281,312,297,40,286,890,296.7,5.7,1.8,-3.7,-4,3616,4014.9,3821.9,3680.4,3818
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",9225,Other,430,678,821,118,808,1929,643,90.9,87.9,-1.6,26,4661.2,7349.6,8899.7,8758.8,6970.2
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",9225,Property,437,454,438,80,432,1329,443,0.2,-1.1,-1.4,-2,4737.1,4921.4,4748,4682.9,4802.2
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",9225,Violent,378,499,419,47,408,1296,432,10.8,7.9,-2.6,-6,4097.6,5409.2,4542,4422.8,4682.9
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",7363,Other,213,261,320,30,302,794,264.7,50.2,41.8,-5.6,14,2892.8,3544.8,4346.1,4101.6,3595
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",7363,Property,207,168,193,26,182,568,189.3,-6.8,-12.1,-5.7,-4,2811.4,2281.7,2621.2,2471.8,2571
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",7363,Violent,176,202,175,22,169,553,184.3,-0.6,-4,-3.4,-8,2390.3,2743.4,2376.7,2295.3,2503.1
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",6853,Other,431,647,653,75,630,1731,577,51.5,46.2,-3.5,9,6289.2,9441.1,9528.7,9193.1,8419.7
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",6853,Property,389,330,340,41,335,1059,353,-12.6,-13.9,-1.5,-5,5676.3,4815.4,4961.3,4888.4,5151
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",6853,Violent,443,475,430,38,395,1348,449.3,-2.9,-10.8,-8.1,-12,6464.3,6931.3,6274.6,5763.9,6556.3
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19339,Other,689,1042,1095,111,1053,2826,942,58.9,52.8,-3.8,12,3562.7,5388.1,5662.1,5445,4871
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19339,Property,563,617,501,58,479,1681,560.3,-11,-14.9,-4.4,-15,2911.2,3190.4,2590.6,2476.9,2897.3
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19339,Violent,639,713,545,74,540,1897,632.3,-14.7,-15.5,-0.9,-15,3304.2,3686.9,2818.1,2792.3,3269.6
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6208,Other,180,346,342,44,330,868,289.3,90,83.3,-3.5,14,2899.5,5573.5,5509,5315.7,4660.1
